[0. 0. 0.], [0.9485869407653809]
[ 0.  0. 58.], [2.290278911590576]
[ 0.    0.   57.99], [2.4226741790771484]
[ 0.000e+00 -1.000e-02  5.798e+01], [2.5465455055236816]
[ 0.000e+00 -2.000e-02  5.798e+01], [2.6683120727539062]
[ 0.000e+00 -2.000e-02  5.798e+01], [2.7892510890960693]
[ 0.14  0.22 58.  ], [2.908043622970581]
[ 0.52  0.62 58.05], [3.025334596633911]
[ 1.09  0.14 58.21], [3.1466922760009766]
[ 1.3   0.3  58.25], [3.272249698638916]
[ 1.54  0.32 58.29], [3.388578176498413]
[ 1.83  0.32 58.35], [3.50713849067688]
[ 2.11  0.34 58.4 ], [3.626530408859253]
[ 2.46  0.36 58.46], [3.7428364753723145]
[ 2.81  0.27 58.52], [3.860790252685547]
[ 3.13  0.4  58.56], [3.9825944900512695]
[ 3.52  0.32 58.63], [4.106112241744995]
[ 4.02  0.21 58.69], [4.22394061088562]
[ 4.31  0.34 58.72], [4.344275712966919]
[ 4.75  0.4  58.77], [4.467178583145142]
[ 5.28  0.21 58.83], [4.588589668273926]
[ 5.75  0.12 58.89], [4.709191799163818]
[ 6.37  0.34 58.9 ], [4.834656476974487]
[ 6.74  0.17 58.94], [4.960713863372803]
[ 7.41  0.29 58.97], [5.088155031204224]
[ 7.93  0.3  58.97], [5.213124752044678]
[ 8.63  0.1  58.99], [5.334285020828247]
[ 9.34  0.17 58.98], [5.456263303756714]
[ 9.98  0.28 58.96], [5.575641393661499]
[10.66  0.33 58.92], [5.695150136947632]
[1.134e+01 4.000e-02 5.890e+01], [5.814895868301392]
[12.12 -0.18 58.85], [5.934594631195068]
[ 1.310e+01 -4.000e-02  5.874e+01], [6.054113864898682]
[13.86 -0.11 58.64], [6.173864126205444]
[14.61 -0.11 58.53], [6.291224479675293]
[15.54  0.1  58.35], [6.409648180007935]
[ 1.646e+01 -5.000e-02  5.817e+01], [6.52652907371521]
[1.747e+01 2.000e-02 5.792e+01], [6.6504528522491455]
[1.837e+01 3.000e-02 5.769e+01], [6.769346475601196]
[19.65 -0.11 57.31], [6.891131639480591]
[20.79 -0.27 56.91], [7.014490604400635]
[21.6  -0.29 56.62], [7.138259172439575]
[22.81 -0.08 56.13], [7.254297494888306]
[24.23 -0.17 55.49], [7.375160217285156]
[25.29 -0.18 54.96], [7.500004529953003]
[26.6  -0.19 54.25], [7.620180368423462]
[28.05 -0.2  53.4 ], [7.735726594924927]
[29.16 -0.34 52.68], [7.856173276901245]
[30.52 -0.18 51.73], [7.9798994064331055]
[3.180e+01 4.000e-02 5.075e+01], [8.108259201049805]
[33.1   0.09 49.66], [8.233523845672607]
[ 3.467e+01 -3.000e-02  4.821e+01], [8.352441787719727]
[36.19 -0.17 46.66], [8.46993088722229]
[37.59 -0.12 45.11], [8.59063172340393]
[ 3.884e+01 -2.000e-02  4.357e+01], [8.709986448287964]
[39.08  0.12 43.28], [8.828049182891846]
[38.71  1.26 43.77], [8.949811220169067]
[38.37  2.21 44.18], [9.066326379776001]
[38.11  2.3  44.5 ], [9.183979272842407]
[37.7   2.87 44.95], [9.306211471557617]
[37.38  3.28 45.29], [9.424412488937378]
[36.99  3.54 45.71], [9.545143842697144]
