[3.60739284e-313 0.00000000e+000 6.93149925e-310], [31.32004165649414]
[4.67604854e-310 4.67604558e-310 6.93153577e-310], [31.91955256462097]
[ 5.    5.02 -0.01], [32.00441074371338]
[ 5.31      5.31124  54.999508], [32.088675022125244]
[12.65 14.67 -0.78], [32.172828674316406]
[ 4.97502   4.96426  55.178848], [32.25735521316528]
[-3.29  0.11 11.18], [32.34088325500488]
[ 4.81714   4.8481   55.222204], [32.42453670501709]
[-5.21 -5.38  8.46], [32.50756907463074]
[ 4.89234  4.87572 55.198  ], [32.59174346923828]
[-1.93 -2.07  8.06], [32.67624068260193]
[ 4.99874   4.99678  55.185376], [32.75923538208008]
[1.6  1.71 7.43], [32.842572927474976]
[ 5.10464  5.1057  55.16824], [32.9263858795166]
[5.14 5.13 6.63], [33.01005935668945]
[ 5.2102   5.20926 55.14904], [33.09426546096802]
[8.6  8.56 5.82], [33.177950620651245]
[ 5.31144   5.30992  55.129096], [33.26217794418335]
[11.93 11.82  4.99], [33.34591770172119]
[ 5.41166  5.4058  55.10968], [33.429826498031616]
[15.28 15.01  4.19], [33.513540267944336]
[ 5.5112   5.50214 55.09048], [33.597041845321655]
[18.56 18.27  3.38], [33.68076539039612]
[ 5.60896   5.60154  55.071292], [33.76529026031494]
[21.81 21.61  2.59], [33.84882736206055]
[ 5.70518   5.70142  55.052584], [33.932865858078]
[24.96 24.89  1.83], [34.01628232002258]
[10.95776  10.95694  55.034344], [34.100114583969116]
[38.01 37.97  1.06], [34.18420386314392]
[11.25614  11.31158  55.051396], [34.267812728881836]
[33.11 35.38 12.67], [34.35156226158142]
[10.92706  11.08156  55.438648], [34.434253215789795]
[26.66 30.62 20.18], [34.517369747161865]
[10.80492  10.87316  55.586128], [34.6018648147583]
[25.32 25.7  27.89], [34.685832023620605]
[10.71352  10.67916  55.758568], [34.76952505111694]
[22.27 19.68 33.4 ], [34.85336947441101]
[10.62042  10.49984  55.864852], [34.93620467185974]
[19.19 14.16 38.83], [35.019848346710205]
[10.5309   10.33968  55.991896], [35.103294134140015]
[16.83  9.05 43.37], [35.18622970581055]
[10.47322 10.18798 56.09758], [35.269059896469116]
[15.08  4.   47.73], [35.352145195007324]
[10.42776  10.04352  56.201464], [35.43574786186218]
[13.48 -0.72 51.97], [35.51906609535217]
[10.37912   9.90448  56.294152], [35.60248160362244]
[11.81 -5.32 55.79], [35.685930013656616]
[10.32454   9.76808  56.388352], [35.76925992965698]
[ 9.92 -9.7  59.2 ], [35.8523325920105]
[10.27104   9.6386   56.465152], [35.9347620010376]
[  8.32 -14.1   62.76], [36.01826310157776]
[10.22368   9.50756  56.550844], [36.10255813598633]
[  6.63 -23.4   66.31], [36.19055414199829]
[10.17042  4.07048 56.6368 ], [36.27434229850769]
[  4.83 -34.33  67.35], [36.35670232772827]
[ 9.98778   4.35282  56.646136], [36.44118523597717]
[ -1.63 -23.67  66.84], [36.52389860153198]
[ 9.96966   4.33278  56.573668], [36.60701656341553]
[ -0.64 -21.43  65.69], [36.69102478027344]
[10.00192  4.39742 56.56018], [36.77412438392639]
[  0.73 -19.31  64.73], [36.858585834503174]
[10.04494   4.43766  56.537896], [36.94263195991516]
[  2.15 -17.89  63.73], [37.02676844596863]
[10.08626   4.49018  56.519188], [37.11075496673584]
[  3.59 -16.23  62.86], [37.195356130599976]
[10.13298   4.53742  56.497552], [37.280293464660645]
[  5.2  -14.75  62.  ], [37.36495304107666]
[10.18192   4.58022  56.477416], [37.449013471603394]
[  6.82 -13.35  61.15], [37.53353023529053]
[10.23084   4.6219   56.456512], [37.618175983428955]
[  8.43 -11.97  60.3 ], [37.701141357421875]
[10.27658  4.65914 56.43712], [37.78484892845154]
[  9.91 -10.84  59.48], [37.86800408363342]
[10.32066  4.6908  56.41744], [37.952317237854004]
[11.38 -9.83 58.68], [38.03586411476135]
[10.3654    4.7211   56.398492], [38.12009072303772]
[12.91 -8.86 57.9 ], [38.20487189292908]
[10.41322  -0.4114   56.379772], [38.28809380531311]
[ 14.55 -17.97  57.12], [38.37242007255554]
[10.43618  -0.58742  56.366092], [38.457144021987915]
[ 9.22 -8.15 59.  ], [38.54013252258301]
[10.23916  -0.30562  56.378956], [38.62322735786438]
[  8.46 -10.18  56.83], [38.706077575683594]
[10.28004  -0.26796  56.354596], [38.791192293167114]
[10.18 -8.18 55.86], [38.87547302246094]
[10.33324  -0.231    56.324512], [38.959630727767944]
[12.04 -7.77 54.49], [39.044118881225586]
