[ 0.  0. 55.], [30.944843292236328]
[ 5.  5. 55.], [31.54267930984497]
[ 5.  5. 55.], [31.627413988113403]
[ 5.  5. 55.], [31.712851762771606]
[ 5.  5. 55.], [31.796452283859253]
[ 5.  5. 55.], [31.881000757217407]
[ 5.  5. 55.], [31.96569800376892]
[ 5.  5. 55.], [32.04910635948181]
[ 5.  5. 55.], [32.132646560668945]
[ 5.  5. 55.], [32.21640920639038]
[ 5.  5. 55.], [32.29995107650757]
[ 5.  5. 55.], [32.38396215438843]
[ 5.  5. 55.], [32.46637010574341]
[ 5.  5. 55.], [32.55027484893799]
[ 5.  5. 55.], [32.63429856300354]
[ 5.  5. 55.], [32.71842384338379]
[ 5.  5. 55.], [32.8021764755249]
[ 5.  5. 55.], [32.88470649719238]
[ 5.  5. 55.], [32.968085527420044]
[ 5.  5. 55.], [33.052183866500854]
[ 5.  5. 55.], [33.136096715927124]
[ 5.  5. 55.], [33.219955921173096]
[ 5.  5. 55.], [33.30326843261719]
[ 5.  5. 55.], [33.38742423057556]
[ 5.  5. 55.], [33.471158504486084]
[ 5.  5. 55.], [33.55690836906433]
[10. 10. 55.], [33.640931606292725]
[10. 10. 55.], [33.723856687545776]
[10. 10. 55.], [33.80667304992676]
[10. 10. 55.], [33.890127658843994]
[10. 10. 55.], [33.97409391403198]
[10. 10. 55.], [34.0578293800354]
[10. 10. 55.], [34.140965938568115]
[10. 10. 55.], [34.22454071044922]
[10. 10. 55.], [34.30722188949585]
[10. 10. 55.], [34.39149785041809]
[10. 10. 55.], [34.47510075569153]
[10. 10. 55.], [34.559558629989624]
[10. 10. 55.], [34.643521547317505]
[10. 10. 55.], [34.727734088897705]
[10. 10. 55.], [34.81118893623352]
[10. 10. 55.], [34.89550447463989]
[10. 10. 55.], [34.97992300987244]
[10. 10. 55.], [35.06399130821228]
[10. 10. 55.], [35.14841055870056]
[10. 10. 55.], [35.23200225830078]
[10. 10. 55.], [35.31590700149536]
[10. 10. 55.], [35.39964580535889]
[10. 10. 55.], [35.48388981819153]
[10. 10. 55.], [35.56874132156372]
[10. 10. 55.], [35.65284776687622]
[10.  5. 55.], [35.737407207489014]
[10.  5. 55.], [35.8210084438324]
[10.  5. 55.], [35.904343605041504]
[10.  5. 55.], [35.98753094673157]
[10.  5. 55.], [36.07185196876526]
[10.  5. 55.], [36.15554213523865]
[10.  5. 55.], [36.239670276641846]
[10.  5. 55.], [36.3236346244812]
[10.  5. 55.], [36.40765857696533]
[10.  5. 55.], [36.49208927154541]
[10.  5. 55.], [36.57573699951172]
[10.  5. 55.], [36.65918326377869]
[10.  5. 55.], [36.74242281913757]
[10.  5. 55.], [36.82594060897827]
[10.  5. 55.], [36.90888285636902]
[10.  5. 55.], [36.99171829223633]
[10.  5. 55.], [37.074790954589844]
[10.  5. 55.], [37.15986371040344]
[10.  5. 55.], [37.243656158447266]
[10.  5. 55.], [37.327816009521484]
[10.  5. 55.], [37.41287398338318]
[10.  5. 55.], [37.49746298789978]
[10.  5. 55.], [37.5823495388031]
[10.  5. 55.], [37.66661834716797]
[10.  5. 55.], [37.750808000564575]
[10.  0. 55.], [37.83598852157593]
[10.  0. 55.], [37.920939207077026]
[10.  0. 55.], [38.00633358955383]
[10.  0. 55.], [38.09126543998718]
[10.  0. 55.], [38.17608141899109]
[10.  0. 55.], [38.2611722946167]
[10.  0. 55.], [38.34576892852783]
[10.  0. 55.], [38.43069362640381]
[10.  0. 55.], [38.51489996910095]
[10.  0. 55.], [38.59984564781189]
[10.  0. 55.], [38.68446230888367]
[10.  0. 55.], [38.76919913291931]
[10.  0. 55.], [38.85434579849243]
[10.  0. 55.], [38.938880920410156]
[10.  0. 55.], [39.02447247505188]
[10.  0. 55.], [39.10885572433472]
[10.  0. 55.], [39.19277334213257]
[10.  0. 55.], [39.27653217315674]
[10.  0. 55.], [39.36118936538696]
[10.  0. 55.], [39.445273876190186]
[10.  0. 55.], [39.53061127662659]
[10.  0. 55.], [39.61659574508667]
[10.  0. 55.], [39.7018027305603]
[10.  0. 55.], [39.78626298904419]
[10.  0. 55.], [39.86943507194519]
[10. -5. 55.], [39.954176902770996]
[10. -5. 55.], [40.038379430770874]
[10. -5. 55.], [40.12331032752991]
[10. -5. 55.], [40.207106828689575]
[10. -5. 55.], [40.29078245162964]
[10. -5. 55.], [40.375229358673096]
[10. -5. 55.], [40.458619832992554]
[10. -5. 55.], [40.54250526428223]
[10. -5. 55.], [40.6273455619812]
[10. -5. 55.], [40.71256065368652]
[10. -5. 55.], [40.79716086387634]
[10. -5. 55.], [40.87988781929016]
[10. -5. 55.], [40.96365165710449]
[10. -5. 55.], [41.048752307891846]
[10. -5. 55.], [41.134432554244995]
[10. -5. 55.], [41.219085454940796]
[10. -5. 55.], [41.304022550582886]
[10. -5. 55.], [41.38834834098816]
[10. -5. 55.], [41.47283172607422]
[10. -5. 55.], [41.55694508552551]
[10. -5. 55.], [41.64141392707825]
[10. -5. 55.], [41.72610020637512]
[10. -5. 55.], [41.81047987937927]
[10. -5. 55.], [41.89480805397034]
[10. -5. 55.], [41.97923684120178]
[ 10. -10.  55.], [42.06416130065918]
[ 10. -10.  55.], [42.1492018699646]
[ 10. -10.  55.], [42.23313331604004]
[ 10. -10.  55.], [42.318442583084106]
[ 10. -10.  55.], [42.40232491493225]
[ 10. -10.  55.], [42.487160444259644]
[ 10. -10.  55.], [42.57201075553894]
[ 10. -10.  55.], [42.65555000305176]
[ 10. -10.  55.], [42.73963451385498]
[ 10. -10.  55.], [42.822558879852295]
[ 10. -10.  55.], [42.90778160095215]
[ 10. -10.  55.], [42.99280643463135]
[ 10. -10.  55.], [43.0771119594574]
[ 10. -10.  55.], [43.1615149974823]
[ 10. -10.  55.], [43.2467622756958]
[ 10. -10.  55.], [43.331151485443115]
[ 10. -10.  55.], [43.4164252281189]
[ 10. -10.  55.], [43.500568151474]
[ 10. -10.  55.], [43.58505153656006]
[ 10. -10.  55.], [43.66958451271057]
[ 10. -10.  55.], [43.75442123413086]
[ 10. -10.  55.], [43.83791899681091]
[ 10. -10.  55.], [43.923423767089844]
[ 10. -10.  55.], [44.00755548477173]
[ 10. -10.  55.], [44.09222722053528]
[  5. -10.  55.], [44.17755937576294]
[  5. -10.  55.], [44.26193141937256]
[  5. -10.  55.], [44.345563650131226]
