[ 0.  0. 55.], [43.717498779296875]
[ 5.  5. 55.], [44.31464648246765]
[ 5.  5. 55.], [44.398120641708374]
[ 5.  5. 55.], [44.48321795463562]
[ 5.  5. 55.], [44.56774187088013]
[ 5.  5. 55.], [44.65211057662964]
[ 5.  5. 55.], [44.73542523384094]
[ 5.  5. 55.], [44.81829857826233]
[ 5.  5. 55.], [44.9013614654541]
[ 5.  5. 55.], [44.98497152328491]
[ 5.  5. 55.], [45.06867742538452]
[ 5.  5. 55.], [45.15316390991211]
[ 5.  5. 55.], [45.23671913146973]
[ 5.  5. 55.], [45.32009267807007]
[ 5.  5. 55.], [45.40333604812622]
[ 5.  5. 55.], [45.48811864852905]
[ 5.  5. 55.], [45.571264028549194]
[ 5.  5. 55.], [45.65495038032532]
[ 5.  5. 55.], [45.73758244514465]
[ 5.  5. 55.], [45.820642948150635]
[ 5.  5. 55.], [45.90439534187317]
[ 5.  5. 55.], [45.98751521110535]
[ 5.  5. 55.], [46.07055711746216]
[ 5.  5. 55.], [46.15367603302002]
[ 5.  5. 55.], [46.236852407455444]
[ 5.  5. 55.], [46.322484493255615]
[10. 10. 55.], [46.406864643096924]
[10. 10. 55.], [46.48968148231506]
[10. 10. 55.], [46.57421398162842]
[10. 10. 55.], [46.65724420547485]
[10. 10. 55.], [46.74075889587402]
[10. 10. 55.], [46.825196266174316]
[10. 10. 55.], [46.909324407577515]
[10. 10. 55.], [46.99281311035156]
[10. 10. 55.], [47.07687020301819]
[10. 10. 55.], [47.161256551742554]
[10. 10. 55.], [47.24463701248169]
[10. 10. 55.], [47.32886004447937]
[10. 10. 55.], [47.41393780708313]
[10. 10. 55.], [47.498255491256714]
[10. 10. 55.], [47.58266520500183]
[10. 10. 55.], [47.66840648651123]
[10. 10. 55.], [47.75400757789612]
[10. 10. 55.], [47.83889317512512]
[10. 10. 55.], [47.923722982406616]
[10. 10. 55.], [48.00791931152344]
[10. 10. 55.], [48.09233093261719]
[10. 10. 55.], [48.17742681503296]
[10. 10. 55.], [48.26173210144043]
[10. 10. 55.], [48.34589982032776]
[10. 10. 55.], [48.43006730079651]
[10.  5. 55.], [48.514923334121704]
[10.  5. 55.], [48.60047936439514]
[10.  5. 55.], [48.6844584941864]
[10.  5. 55.], [48.76845073699951]
[10.  5. 55.], [48.85256743431091]
[10.  5. 55.], [48.936413526535034]
[10.  5. 55.], [49.020506620407104]
[10.  5. 55.], [49.10364651679993]
[10.  5. 55.], [49.18787670135498]
[10.  5. 55.], [49.27157974243164]
[10.  5. 55.], [49.354607582092285]
[10.  5. 55.], [49.438886642456055]
[10.  5. 55.], [49.5227324962616]
[10.  5. 55.], [49.60773539543152]
[10.  5. 55.], [49.692575216293335]
[10.  5. 55.], [49.77639651298523]
[10.  5. 55.], [49.86107873916626]
[10.  5. 55.], [49.94629240036011]
[10.  5. 55.], [50.031628131866455]
[10.  5. 55.], [50.1154305934906]
[10.  5. 55.], [50.199894189834595]
[10.  5. 55.], [50.28497934341431]
[10.  5. 55.], [50.369555711746216]
[10.  5. 55.], [50.453351974487305]
[10.  5. 55.], [50.5384042263031]
[10.  0. 55.], [50.623616456985474]
[10.  0. 55.], [50.71083474159241]
[10.  0. 55.], [50.79712438583374]
[10.  0. 55.], [50.883240699768066]
[10.  0. 55.], [50.969653606414795]
[10.  0. 55.], [51.05400037765503]
[10.  0. 55.], [51.13905596733093]
[10.  0. 55.], [51.224958419799805]
[10.  0. 55.], [51.316004276275635]
[10.  0. 55.], [51.40735483169556]
[10.  0. 55.], [51.49173617362976]
[10.  0. 55.], [51.575669288635254]
[10.  0. 55.], [51.65948009490967]
[10.  0. 55.], [51.74416899681091]
[10.  0. 55.], [51.828129053115845]
[10.  0. 55.], [51.912230491638184]
[10.  0. 55.], [51.996657609939575]
[10.  0. 55.], [52.08147120475769]
[10.  0. 55.], [52.165852785110474]
[10.  0. 55.], [52.251028299331665]
[10.  0. 55.], [52.338346004486084]
[10.  0. 55.], [52.42582964897156]
[10.  0. 55.], [52.51187539100647]
[10.  0. 55.], [52.59671092033386]
[10.  0. 55.], [52.68228507041931]
[10. -5. 55.], [52.7683789730072]
[10. -5. 55.], [52.85315155982971]
[10. -5. 55.], [52.937254190444946]
[10. -5. 55.], [53.02125835418701]
[10. -5. 55.], [53.10653519630432]
[10. -5. 55.], [53.19161295890808]
[10. -5. 55.], [53.27643394470215]
[10. -5. 55.], [53.3604462146759]
[10. -5. 55.], [53.44482684135437]
[10. -5. 55.], [53.52928304672241]
[10. -5. 55.], [53.614569425582886]
[10. -5. 55.], [53.69868040084839]
[10. -5. 55.], [53.78695726394653]
[10. -5. 55.], [53.8754985332489]
[10. -5. 55.], [53.9598925113678]
[10. -5. 55.], [54.04487204551697]
[10. -5. 55.], [54.130295753479004]
[10. -5. 55.], [54.214303493499756]
[10. -5. 55.], [54.29839897155762]
[10. -5. 55.], [54.38345503807068]
[10. -5. 55.], [54.468157052993774]
[10. -5. 55.], [54.553290367126465]
[10. -5. 55.], [54.63707494735718]
[10. -5. 55.], [54.72227430343628]
[10. -5. 55.], [54.810243129730225]
