[4.68804692e-310 4.68803192e-310 4.68803985e-310], [33.46599864959717]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [34.7620894908905]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [34.938937187194824]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [35.103992223739624]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [35.26751637458801]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [35.432693004608154]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [35.59759473800659]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [35.76250743865967]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [35.9278621673584]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [36.09202814102173]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [36.257272243499756]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [36.42301630973816]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [36.58770418167114]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [36.75352740287781]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [36.918299198150635]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [37.084527015686035]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [37.24813151359558]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [37.41313719749451]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [37.577702045440674]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [37.74308681488037]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [37.90831470489502]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [38.073251724243164]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [38.23737955093384]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [38.40284490585327]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [38.56742978096008]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [38.73378276824951]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [38.899171113967896]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [39.06473660469055]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [39.22955536842346]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [39.3951153755188]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [39.56101179122925]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [39.72519779205322]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [39.891963958740234]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [40.05765700340271]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [40.22373390197754]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [40.38931751251221]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [40.5536003112793]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [40.7192018032074]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [40.88450646400452]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [41.05003809928894]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [41.21639156341553]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [41.38257932662964]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [41.54761052131653]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [41.713144302368164]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [41.87740111351013]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [42.04110145568848]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [42.20505380630493]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [42.3696653842926]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [42.53249263763428]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [42.696067333221436]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [42.85981822013855]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [43.02557373046875]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [43.191094160079956]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [43.35679912567139]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [43.520384550094604]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [43.68881177902222]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [43.85631823539734]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [44.02435350418091]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [44.19058108329773]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [44.35427260398865]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [44.520432233810425]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [44.685999631881714]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [44.850821018218994]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [45.01613903045654]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [45.17984318733215]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [45.35615849494934]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [45.522512674331665]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [45.68740940093994]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [45.85271954536438]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [46.018611431121826]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [46.1839644908905]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [46.348363161087036]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [46.515214920043945]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [46.68033289909363]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [46.844624042510986]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [47.00964713096619]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [47.173795223236084]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [47.3381564617157]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [47.50497317314148]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [47.67101287841797]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [47.83548355102539]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [47.99982976913452]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [48.16422462463379]
