[ 0.  0. 55.], [36.796706199645996]
[ 5.  5. 55.], [37.39810013771057]
[ 5.  5. 55.], [37.484071016311646]
[ 5.  5. 55.], [37.56949973106384]
[ 5.  5. 55.], [37.65400695800781]
[ 5.  5. 55.], [37.737534523010254]
[ 5.  5. 55.], [37.821505546569824]
[ 5.  5. 55.], [37.906177043914795]
[ 5.  5. 55.], [37.98992562294006]
[ 5.  5. 55.], [38.07354116439819]
[ 5.  5. 55.], [38.15771484375]
[ 5.  5. 55.], [38.24288892745972]
[ 5.  5. 55.], [38.32713603973389]
[ 5.  5. 55.], [38.41162657737732]
[ 5.  5. 55.], [38.49616837501526]
[ 5.  5. 55.], [38.580570459365845]
[ 5.  5. 55.], [38.66445541381836]
[ 5.  5. 55.], [38.74835228919983]
[ 5.  5. 55.], [38.83305215835571]
[ 5.  5. 55.], [38.91755557060242]
[ 5.  5. 55.], [39.0023353099823]
[ 5.  5. 55.], [39.0860812664032]
[ 5.  5. 55.], [39.171571016311646]
[ 5.  5. 55.], [39.25532269477844]
[ 5.  5. 55.], [39.33940100669861]
[ 5.  5. 55.], [39.4236056804657]
[10. 10. 55.], [39.507275342941284]
[10. 10. 55.], [39.59328651428223]
[10. 10. 55.], [39.6776556968689]
[10. 10. 55.], [39.7612669467926]
[10. 10. 55.], [39.84481644630432]
[10. 10. 55.], [39.92926216125488]
[10. 10. 55.], [40.013758182525635]
[10. 10. 55.], [40.09763240814209]
[10. 10. 55.], [40.18109202384949]
[10. 10. 55.], [40.2644989490509]
[10. 10. 55.], [40.3476927280426]
[10. 10. 55.], [40.43161129951477]
[10. 10. 55.], [40.5163631439209]
[10. 10. 55.], [40.59987020492554]
[10. 10. 55.], [40.6834557056427]
[10. 10. 55.], [40.767855167388916]
[10. 10. 55.], [40.85789394378662]
[10. 10. 55.], [40.949212074279785]
[10. 10. 55.], [41.03982138633728]
[10. 10. 55.], [41.1241340637207]
[10. 10. 55.], [41.20885729789734]
[10. 10. 55.], [41.29394841194153]
[10. 10. 55.], [41.378023862838745]
[10. 10. 55.], [41.462260484695435]
[10. 10. 55.], [41.54828667640686]
[10.  5. 55.], [41.63261437416077]
[10.  5. 55.], [41.716888666152954]
[10.  5. 55.], [41.80013465881348]
[10.  5. 55.], [41.884441614151]
[10.  5. 55.], [41.96929454803467]
[10.  5. 55.], [42.053268909454346]
[10.  5. 55.], [42.13785147666931]
[10.  5. 55.], [42.222057580947876]
[10.  5. 55.], [42.30627512931824]
[10.  5. 55.], [42.39158225059509]
[10.  5. 55.], [42.476694107055664]
[10.  5. 55.], [42.56100130081177]
[10.  5. 55.], [42.64460229873657]
[10.  5. 55.], [42.72846794128418]
[10.  5. 55.], [42.812867164611816]
[10.  5. 55.], [42.89727187156677]
[10.  5. 55.], [42.9823260307312]
[10.  5. 55.], [43.06687664985657]
[10.  5. 55.], [43.15066695213318]
[10.  5. 55.], [43.23490357398987]
[10.  5. 55.], [43.31992840766907]
[10.  5. 55.], [43.4037721157074]
[10.  5. 55.], [43.488049268722534]
[10.  5. 55.], [43.57231688499451]
[10.  5. 55.], [43.656004428863525]
[10.  0. 55.], [43.73998761177063]
[10.  0. 55.], [43.82449269294739]
[10.  0. 55.], [43.911128759384155]
[10.  0. 55.], [43.99752926826477]
[10.  0. 55.], [44.083152294158936]
[10.  0. 55.], [44.16762328147888]
[10.  0. 55.], [44.25283741950989]
[10.  0. 55.], [44.33725357055664]
[10.  0. 55.], [44.422192335128784]
[10.  0. 55.], [44.50599908828735]
[10.  0. 55.], [44.59020113945007]
[10.  0. 55.], [44.674015522003174]
[10.  0. 55.], [44.757970333099365]
[10.  0. 55.], [44.84188151359558]
[10.  0. 55.], [44.92557454109192]
[10.  0. 55.], [45.010313987731934]
[10.  0. 55.], [45.09558129310608]
[10.  0. 55.], [45.18020486831665]
[10.  0. 55.], [45.26421499252319]
[10.  0. 55.], [45.34766459465027]
[10.  0. 55.], [45.43168759346008]
[10.  0. 55.], [45.516059160232544]
[10.  0. 55.], [45.599698543548584]
[10.  0. 55.], [45.68451714515686]
[10.  0. 55.], [45.769065380096436]
[10. -5. 55.], [45.85349082946777]
[10. -5. 55.], [45.93796372413635]
[10. -5. 55.], [46.021652698516846]
[10. -5. 55.], [46.106162548065186]
[10. -5. 55.], [46.19039702415466]
[10. -5. 55.], [46.27490568161011]
[10. -5. 55.], [46.359089851379395]
[10. -5. 55.], [46.44355082511902]
[10. -5. 55.], [46.527830839157104]
[10. -5. 55.], [46.61197900772095]
[10. -5. 55.], [46.69550800323486]
[10. -5. 55.], [46.77952313423157]
[10. -5. 55.], [46.863688468933105]
[10. -5. 55.], [46.94732308387756]
[10. -5. 55.], [47.031046867370605]
[10. -5. 55.], [47.115017890930176]
[10. -5. 55.], [47.19933891296387]
[10. -5. 55.], [47.28309512138367]
[10. -5. 55.], [47.367671489715576]
[10. -5. 55.], [47.45150113105774]
[10. -5. 55.], [47.535090923309326]
[10. -5. 55.], [47.61954426765442]
[10. -5. 55.], [47.70308017730713]
[10. -5. 55.], [47.78726935386658]
[10. -5. 55.], [47.87102031707764]
[ 10. -10.  55.], [47.95492172241211]
[ 10. -10.  55.], [48.03922462463379]
[ 10. -10.  55.], [48.12301516532898]
[ 10. -10.  55.], [48.20724439620972]
[ 10. -10.  55.], [48.291565895080566]
[ 10. -10.  55.], [48.37600779533386]
[ 10. -10.  55.], [48.459752559661865]
[ 10. -10.  55.], [48.544262647628784]
[ 10. -10.  55.], [48.62811279296875]
[ 10. -10.  55.], [48.711320638656616]
[ 10. -10.  55.], [48.79464530944824]
[ 10. -10.  55.], [48.87857246398926]
[ 10. -10.  55.], [48.96290969848633]
[ 10. -10.  55.], [49.04782557487488]
[ 10. -10.  55.], [49.13202714920044]
[ 10. -10.  55.], [49.21994733810425]
[ 10. -10.  55.], [49.30708980560303]
[ 10. -10.  55.], [49.39231562614441]
[ 10. -10.  55.], [49.47817611694336]
[ 10. -10.  55.], [49.5635461807251]
[ 10. -10.  55.], [49.64909052848816]
[ 10. -10.  55.], [49.73271298408508]
[ 10. -10.  55.], [49.81700611114502]
[ 10. -10.  55.], [49.90092372894287]
[ 10. -10.  55.], [49.985302209854126]
[  5. -10.  55.], [50.070239782333374]
[  5. -10.  55.], [50.15474486351013]
[  5. -10.  55.], [50.2389874458313]
[  5. -10.  55.], [50.32266569137573]
[  5. -10.  55.], [50.407121658325195]
[  5. -10.  55.], [50.495468854904175]
[  5. -10.  55.], [50.5806040763855]
[  5. -10.  55.], [50.66447591781616]
[  5. -10.  55.], [50.74914622306824]
[  5. -10.  55.], [50.8342182636261]
[  5. -10.  55.], [50.91954493522644]
[  5. -10.  55.], [51.00419855117798]
[  5. -10.  55.], [51.08933997154236]
[  5. -10.  55.], [51.17384314537048]
[  5. -10.  55.], [51.25747275352478]
[  5. -10.  55.], [51.34170436859131]
[  5. -10.  55.], [51.425538778305054]
[  5. -10.  55.], [51.50965094566345]
[  5. -10.  55.], [51.59398937225342]
[  5. -10.  55.], [51.6786367893219]
[  5. -10.  55.], [51.762840270996094]
[  5. -10.  55.], [51.847490310668945]
[  5. -10.  55.], [51.93130707740784]
[  5. -10.  55.], [52.015621185302734]
[  5. -10.  55.], [52.099254846572876]
[ 5. -5. 55.], [52.18377494812012]
[ 5. -5. 55.], [52.268038511276245]
[ 5. -5. 55.], [52.35223603248596]
[ 5. -5. 55.], [52.4367196559906]
[ 5. -5. 55.], [52.52104425430298]
[ 5. -5. 55.], [52.60523819923401]
[ 5. -5. 55.], [52.68865942955017]
[ 5. -5. 55.], [52.77286148071289]
[ 5. -5. 55.], [52.856929302215576]
[ 5. -5. 55.], [52.94138216972351]
[ 5. -5. 55.], [53.02524542808533]
[ 5. -5. 55.], [53.10962390899658]
[ 5. -5. 55.], [53.19433236122131]
[ 5. -5. 55.], [53.2846519947052]
[ 5. -5. 55.], [53.36988043785095]
[ 5. -5. 55.], [53.45421648025513]
[ 5. -5. 55.], [53.53759217262268]
[ 5. -5. 55.], [53.622190952301025]
[ 5. -5. 55.], [53.70627236366272]
[ 5. -5. 55.], [53.78934860229492]
[ 5. -5. 55.], [53.874364137649536]
[ 5. -5. 55.], [53.95910978317261]
[ 5. -5. 55.], [54.043100357055664]
[ 5. -5. 55.], [54.12687540054321]
[ 5. -5. 55.], [54.21093773841858]
[ 5.  0. 55.], [54.29480528831482]
[ 5.  0. 55.], [54.37891435623169]
[ 5.  0. 55.], [54.463284492492676]
[ 5.  0. 55.], [54.54762530326843]
[ 5.  0. 55.], [54.63202881813049]
[ 5.  0. 55.], [54.71531128883362]
