[0. 0. 0.], [36.7965567111969]
[ 0.000e+00 -2.000e-02  5.501e+01], [37.39794564247131]
[ 0.  0. 55.], [37.48396444320679]
[ 0.0e+00 -1.0e-02  5.5e+01], [37.569451332092285]
[ 2.27 -0.12 55.68], [37.65396308898926]
[13.31 11.32 52.31], [37.73745369911194]
[ 6.93  6.23 53.27], [37.821463108062744]
[ 5.28  4.45 55.48], [37.906134605407715]
[ 4.14  3.89 55.51], [37.98988103866577]
[ 3.47  3.85 55.51], [38.073463916778564]
[ 3.41  3.8  55.46], [38.157670736312866]
[ 3.44  3.87 55.54], [38.2427978515625]
[ 3.42  3.85 55.54], [38.32709622383118]
[ 3.42  3.85 55.54], [38.41158747673035]
[ 3.46  3.88 55.54], [38.49603819847107]
[ 3.48  3.9  55.53], [38.58053207397461]
[ 3.51  3.92 55.52], [38.66441869735718]
[ 3.51  3.93 55.52], [38.748310804367065]
[ 3.51  3.95 55.52], [38.83295464515686]
[ 3.62  4.21 55.55], [38.91751551628113]
[ 3.63  4.14 55.48], [39.00229477882385]
[ 3.66  4.1  55.49], [39.086004972457886]
[ 3.7   4.14 55.52], [39.171491622924805]
[ 3.71  4.14 55.52], [39.255284547805786]
[ 3.72  4.13 55.52], [39.33936262130737]
[ 3.77  4.14 55.52], [39.42356777191162]
[ 3.84  4.29 55.73], [39.507230043411255]
[ 3.94  4.18 55.52], [39.59324598312378]
[ 3.97  4.25 55.56], [39.677496671676636]
[ 4.01  4.21 55.53], [39.761186361312866]
[ 5.85  6.06 55.89], [39.84477138519287]
[ 9.08 11.56 50.2 ], [39.929173946380615]
[12.33 14.93 53.14], [40.01370978355408]
[12.94 14.66 52.42], [40.097585916519165]
[11.31 12.43 53.26], [40.18100690841675]
[10.38 10.8  54.08], [40.26445484161377]
[ 9.92 10.68 52.46], [40.34760618209839]
[ 9.75 11.07 54.05], [40.43156886100769]
[10.41 11.37 55.03], [40.51631712913513]
[10.74 11.37 53.62], [40.59982514381409]
[10.41 11.45 53.15], [40.68341040611267]
[10.35 11.05 54.17], [40.76780891418457]
[ 9.88 11.03 54.2 ], [40.85784578323364]
[10.31 11.11 54.17], [40.9491651058197]
[10.28 11.04 53.91], [41.039700508117676]
[10.26 11.05 53.98], [41.124093770980835]
[10.3  11.03 54.02], [41.20881390571594]
[10.25 11.05 54.05], [41.29384636878967]
[10.25 11.06 54.06], [41.3778772354126]
[10.28 11.03 54.06], [41.46214175224304]
[10.18 11.01 54.23], [41.548245429992676]
[10.25 10.99 54.15], [41.632570028305054]
[10.34 10.97 54.13], [41.7168447971344]
[10.24 10.96 54.21], [41.800090312957764]
[10.58  9.91 57.19], [41.88439679145813]
[14.79 -3.19 56.18], [41.969250440597534]
[13.79  3.85 55.94], [42.05322742462158]
[11.3   2.96 55.9 ], [42.13780975341797]
[10.18  3.95 55.96], [42.2220184803009]
[10.04  3.26 55.53], [42.306235551834106]
[ 9.99  3.78 55.49], [42.39150333404541]
[10.06  4.19 55.49], [42.476616859436035]
[ 9.97  4.32 55.79], [42.56088447570801]
[ 9.83  4.4  55.62], [42.64456343650818]
[ 9.8   4.44 55.63], [42.72842264175415]
[ 9.81  4.46 55.65], [42.81278371810913]
[ 9.82  4.49 55.63], [42.89723229408264]
[ 9.85  4.5  55.61], [42.98228979110718]
[ 9.83  4.73 55.48], [43.06678009033203]
[ 9.82  4.8  55.57], [43.15062928199768]
[ 9.83  4.84 55.51], [43.23481774330139]
[ 9.83  4.85 55.54], [43.31988716125488]
[ 9.84  4.85 55.54], [43.403732776641846]
[ 9.83  4.86 55.55], [43.48800706863403]
[ 9.82  4.86 55.55], [43.57227396965027]
[ 9.81  4.87 55.56], [43.655964374542236]
[ 9.79  4.88 55.57], [43.73994541168213]
[ 9.79  4.88 55.57], [43.82441592216492]
[ 9.79  4.87 55.56], [43.911083698272705]
[10.76  2.12 55.98], [43.99745273590088]
[14.59 -5.94 55.83], [44.083115577697754]
[13.04 -2.14 55.71], [44.16758418083191]
[10.98  0.32 55.63], [44.25279760360718]
[10.03  1.02 56.16], [44.33721470832825]
[ 9.91  0.84 56.09], [44.422149896621704]
[10.05  0.51 55.97], [44.50595951080322]
[10.09  0.59 55.97], [44.590160846710205]
[10.08  0.65 55.98], [44.67397713661194]
[10.07  0.7  55.97], [44.75793170928955]
[10.04  0.71 56.  ], [44.84183931350708]
[10.04  0.69 56.  ], [44.925535678863525]
[10.03  0.69 56.01], [45.01027202606201]
[10.02  0.7  56.  ], [45.09553933143616]
[10.02  0.7  55.98], [45.1801643371582]
[10.02  0.7  55.97], [45.26417326927185]
[10.02  0.7  55.97], [45.3475878238678]
[10.02  0.69 55.98], [45.43164777755737]
[10.02  0.68 55.98], [45.516013383865356]
[10.01  0.69 55.99], [45.59965753555298]
[ 9.99  0.69 55.99], [45.684465408325195]
[ 9.98  0.7  55.98], [45.769020318984985]
[ 9.97  0.7  55.98], [45.85340642929077]
[ 9.97  0.7  55.98], [45.93791842460632]
[ 9.98  0.67 55.99], [46.021615743637085]
[ 9.72  0.31 56.59], [46.10612416267395]
[ 14.02 -10.65  53.75], [46.19035625457764]
[13.09 -6.19 54.54], [46.27482295036316]
[11.02 -4.46 55.77], [46.358943939208984]
[ 9.82 -3.61 55.85], [46.443511724472046]
[ 9.6  -4.01 55.85], [46.52773356437683]
[ 9.76 -4.24 55.8 ], [46.611916303634644]
[ 9.98 -4.46 55.66], [46.69543147087097]
[10.13 -4.35 55.67], [46.77941083908081]
[10.11 -4.24 55.68], [46.86355018615723]
[10.17 -4.26 55.7 ], [46.94720482826233]
[10.12 -4.12 55.73], [47.030945777893066]
[10.1  -4.11 55.72], [47.11495900154114]
[10.09 -4.1  55.72], [47.199299812316895]
[10.1  -4.1  55.72], [47.283058643341064]
[10.07 -4.09 55.73], [47.3676335811615]
[10.05 -4.11 55.71], [47.45146059989929]
[10.04 -4.13 55.71], [47.53505301475525]
[10.04 -4.16 55.71], [47.61950492858887]
[10.06 -4.16 55.7 ], [47.70304298400879]
[10.06 -4.17 55.7 ], [47.787230014801025]
[10.06 -4.17 55.69], [47.870940923690796]
[10.05 -4.18 55.7 ], [47.954833030700684]
[10.04 -4.18 55.7 ], [48.03918409347534]
[10.04 -4.17 55.71], [48.12285590171814]
[ 9.58 -4.66 56.57], [48.207205295562744]
[ 16.12 -18.13  47.81], [48.2915244102478]
[ 12.78 -12.94  52.68], [48.375929832458496]
[ 10.43 -10.51  54.46], [48.45964002609253]
[ 9.04 -8.25 55.34], [48.544220209121704]
[ 9.93 -8.85 54.89], [48.62799620628357]
[10.1  -9.11 54.67], [48.711241483688354]
[10.25 -9.1  54.78], [48.794565200805664]
[10.15 -8.97 54.74], [48.87853217124939]
[10.15 -8.96 54.78], [48.96282386779785]
[10.12 -9.   54.75], [49.04771137237549]
[10.11 -9.01 54.75], [49.1319854259491]
[10.11 -9.   54.74], [49.21989941596985]
[10.12 -9.01 54.71], [49.307047843933105]
[10.12 -9.02 54.72], [49.392273902893066]
[10.12 -9.03 54.71], [49.478134632110596]
[10.1  -9.03 54.71], [49.563504457473755]
[10.1  -9.02 54.72], [49.6490478515625]
[10.1  -9.03 54.71], [49.73266673088074]
[10.1  -9.03 54.72], [49.81695914268494]
[10.1  -9.05 54.7 ], [49.900877475738525]
[10.11 -9.06 54.69], [49.98525381088257]
[10.1  -9.07 54.69], [50.070191621780396]
[10.1  -9.08 54.7 ], [50.15469813346863]
[10.09 -9.07 54.7 ], [50.238895654678345]
[  6.46 -10.23  54.45], [50.322617292404175]
[ -7.6  -10.29  53.34], [50.406997203826904]
[  0.62 -11.92  53.84], [50.49535036087036]
[  1.34 -11.09  55.43], [50.58056354522705]
[  3.05 -10.05  55.31], [50.664435386657715]
[ 3.38 -9.89 55.33], [50.74910831451416]
[ 4.32 -9.65 55.19], [50.834179401397705]
[ 4.56 -9.87 55.06], [50.91950511932373]
[ 4.72 -9.74 55.01], [51.00415825843811]
[ 4.76 -9.72 55.01], [51.08930277824402]
[ 4.81 -9.71 55.  ], [51.17380452156067]
[ 4.82 -9.72 54.99], [51.25743389129639]
[ 4.82 -9.72 54.98], [51.341665267944336]
[ 4.85 -9.7  54.96], [51.42549967765808]
[ 4.89 -9.67 54.94], [51.50958967208862]
[ 4.92 -9.66 54.94], [51.59394812583923]
[ 4.93 -9.65 54.95], [51.67857480049133]
[ 4.92 -9.65 54.94], [51.76268935203552]
[ 4.93 -9.65 54.93], [51.84745168685913]
[ 4.94 -9.65 54.92], [51.931267976760864]
[ 4.96 -9.65 54.92], [52.01557683944702]
[ 4.96 -9.64 54.92], [52.09921336174011]
[ 4.96 -9.64 54.9 ], [52.18373250961304]
[ 4.91 -9.77 54.85], [52.26799488067627]
[ 5.   -9.77 54.89], [52.35219144821167]
[ 6.64 -7.57 55.79], [52.436675786972046]
[ 8.23  1.45 56.93], [52.521000146865845]
[ 5.82 -3.48 55.77], [52.60519289970398]
[ 5.21 -4.11 55.72], [52.68861389160156]
[ 4.43 -5.31 55.75], [52.77281832695007]
[ 4.69 -5.13 55.54], [52.856887340545654]
[ 4.56 -5.15 55.57], [52.94133448600769]
[ 4.64 -5.15 55.6 ], [53.02515649795532]
