[1.42108547e-14 0.00000000e+00 5.50000000e+01], [36.796149253845215]
[-4.64627593e-06  2.25732428e-06  5.50000011e+01], [37.397491693496704]
[ 4.80096322  5.23743339 56.2250025 ], [37.4835946559906]
[ 5.34209833  5.64949042 55.8662594 ], [37.56934189796448]
[ 5.50086777  5.90443127 55.73660877], [37.653855085372925]
[ 5.09754178  5.52472651 55.65594594], [37.737072467803955]
[ 5.01712833  5.44966977 55.62040136], [37.82135367393494]
[ 5.01204546  5.47858231 55.57306627], [37.90602707862854]
[ 5.06309549  5.53605955 55.53382293], [37.989779472351074]
[ 5.1469674   5.5957933  55.50317012], [38.07332158088684]
[ 5.23278667  5.65838411 55.47667917], [38.15756630897522]
[ 5.31536461  5.71823293 55.45507799], [38.24270296096802]
[ 5.39825649  5.77984029 55.43753559], [38.326720237731934]
[ 5.48063594  5.84188249 55.42305394], [38.411404848098755]
[ 5.56051124  5.90265737 55.41094124], [38.495641231536865]
[ 5.63909446  5.96264974 55.40084485], [38.58036494255066]
[ 5.71595383  6.02177525 55.39221297], [38.66428184509277]
[ 5.79266768  6.08061328 55.38483709], [38.74821734428406]
[ 5.86927781  6.13856815 55.37844737], [38.83284592628479]
[ 5.93968495  6.18290755 55.37397725], [38.91741156578064]
[ 6.00994606  6.23102483 55.36972395], [39.002201318740845]
[ 6.07864518  6.28135373 55.36532425], [39.08591675758362]
[ 6.14507016  6.32973893 55.36128283], [39.17125082015991]
[ 6.21099056  6.37824082 55.35744414], [39.25511908531189]
[ 6.27643302  6.42733271 55.35358351], [39.33921027183533]
[ 6.33928201  6.47589035 55.34958185], [39.4234254360199]
[ 6.39738651  6.51786474 55.34622906], [39.507068157196045]
[11.57489972 11.76036701 55.09366265], [39.59303307533264]
[12.02428221 12.07809486 54.83511853], [39.67723846435547]
[12.32246386 12.37098194 54.79563394], [39.76093506813049]
[12.54775561 12.57086465 54.7452562 ], [39.844603538513184]
[12.61593755 12.41863475 54.75921379], [39.928699254989624]
[12.50093138 12.13832769 54.78303134], [40.013224363327026]
[12.35418712 11.86590142 54.79157105], [40.09744095802307]
[12.28310703 11.73404864 54.82762482], [40.18082666397095]
[12.2626405  11.69361219 54.8549218 ], [40.264293909072876]
[12.26153127 11.6523838  54.94268131], [40.347370862960815]
[12.27714    11.59772431 54.98631188], [40.431403398513794]
[12.25796695 11.52921312 54.99515665], [40.516125440597534]
[12.21570954 11.45513266 55.04544633], [40.59970951080322]
[12.19239607 11.37681623 55.11430776], [40.68324661254883]
[12.17544391 11.32416716 55.15069968], [40.76769399642944]
[12.1822378  11.2700179  55.18184148], [40.85772109031677]
[12.16507477 11.21205622 55.2164606 ], [40.949007749557495]
[12.14933814 11.1569574  55.25830346], [41.03935694694519]
[12.13534382 11.10180048 55.29899694], [41.12397909164429]
[12.11922824 11.04786345 55.3384228 ], [41.2085702419281]
[12.10589808 10.9927543  55.37649439], [41.293466567993164]
[12.09244843 10.93715581 55.41419057], [41.37769913673401]
[12.07733168 10.8831977  55.45181238], [41.461987018585205]
[12.06810227 10.83058331 55.48326091], [41.548131704330444]
[12.05442715 10.77866898 55.5171767 ], [41.63245725631714]
[12.05972481  5.75643236 56.58223497], [41.71674418449402]
[12.03454315  5.2861715  56.40775662], [41.79999375343323]
[12.00620034  5.02713186 56.26087574], [41.88427376747131]
[11.75565857  5.46731403 56.07536141], [41.969146728515625]
[11.56011153  5.50953896 55.96680476], [42.05313491821289]
[11.496302    5.61076092 55.86899841], [42.13770651817322]
[11.48940291  5.65973444 55.79145439], [42.22192358970642]
[11.48835093  5.74661015 55.72322941], [42.30614495277405]
[11.48938735  5.80574885 55.67175647], [42.39120101928711]
[11.48648152  5.84504634 55.6330912 ], [42.4765043258667]
[11.48815414  5.88097288 55.60290976], [42.56076955795288]
[11.4971946   5.91266251 55.57922234], [42.64445185661316]
[11.50763856  5.94306962 55.56014451], [42.72830367088318]
[11.51744848  5.97311933 55.54471469], [42.812663316726685]
[11.52671195  6.00188977 55.53225966], [42.89707660675049]
[11.53438841  6.03037631 55.52192464], [42.98219609260559]
[11.5431792   6.04605105 55.51504596], [43.066627502441406]
[11.55243921  6.0591403  55.50965001], [43.15053081512451]
[11.56117174  6.06999478 55.50545641], [43.23472309112549]
[11.56989592  6.08068983 55.50197978], [43.31979966163635]
[11.57809551  6.09148094 55.49898145], [43.40363359451294]
[11.58683256  6.10186256 55.49642277], [43.48785209655762]
[11.59609975  6.11230259 55.4940956 ], [43.57217812538147]
[11.60589107  6.12230602 55.49200915], [43.65586757659912]
[11.61673689  6.13188042 55.49011742], [43.73984503746033]
[11.62698953  1.01362629 56.2440774 ], [43.824098110198975]
[11.62307766  0.58036076 56.19475149], [43.91081428527832]
[11.58468033  0.47421602 56.14168955], [43.997347593307495]
[11.34446339  0.80142472 56.09545664], [44.082966566085815]
[11.18633877  0.91573896 56.06314044], [44.16740131378174]
[11.1367507   0.89695242 56.03553448], [44.25270175933838]
[11.13571168  0.84238219 56.01112337], [44.33711910247803]
[11.14015378  0.79836541 55.9911778 ], [44.42205357551575]
[11.13698222  0.77225494 55.97611848], [44.50586915016174]
[11.13169334  0.74156374 55.96550221], [44.59006333351135]
[11.12694861  0.70753212 55.95793663], [44.67387342453003]
[11.12272335  0.67071794 55.95249697], [44.757787466049194]
[11.12004293  0.63330904 55.94860776], [44.84172701835632]
[11.11733701  0.59689731 55.9457889 ], [44.92534565925598]
[11.11513603  0.56038524 55.94383166], [45.01019835472107]
[11.11345847  0.52321716 55.94249476], [45.09526491165161]
[11.11178309  0.48593938 55.94159538], [45.180046796798706]
[11.11010706  0.44856156 55.94102753], [45.26407790184021]
[11.10842655  0.41109044 55.94069355], [45.34745907783508]
[11.10673588  0.37407788 55.94051597], [45.43150067329407]
[11.10504139  0.33752316 55.94044409], [45.51588726043701]
[11.1038667   0.30034125 55.94045694], [45.59947443008423]
[11.10374872  0.26307089 55.9405119 ], [45.68435454368591]
[11.10416622  0.22517026 55.94057323], [45.768921852111816]
[11.10511547  0.18718399 55.94064822], [45.85329747200012]
[11.63387685 -4.79944303 55.96957607], [45.93775200843811]
[11.1202686  -5.63342571 55.79278522], [46.021512031555176]
[11.11805471 -5.93441084 55.71225373], [46.10603308677673]
[10.90854361 -5.61603225 55.70535308], [46.19026017189026]
[10.74576018 -5.54113136 55.67901224], [46.274715185165405]
[10.69208531 -5.57020452 55.64744347], [46.35859799385071]
[10.70118674 -5.64571718 55.61466731], [46.44307804107666]
[10.72139188 -5.70039574 55.5899228 ], [46.527302742004395]
[10.73293345 -5.74310819 55.57214244], [46.61165118217468]
[10.73280421 -5.77395927 55.56033891], [46.6951220035553]
[10.72486212 -5.8113076  55.55062457], [46.77912473678589]
[10.7181093  -5.85509048 55.54197838], [46.86321949958801]
[10.70824258 -5.89820585 55.53426538], [46.94703245162964]
[10.70104738 -5.94920659 55.52617363], [47.03082084655762]
[10.69497365 -6.00089596 55.51821967], [47.114842653274536]
[10.68945405 -6.05324437 55.51031586], [47.199162006378174]
[10.68342722 -6.10571477 55.50245078], [47.28288722038269]
[10.67899491 -6.15889438 55.49456408], [47.36751365661621]
[10.67565577 -6.21097339 55.48679143], [47.45130801200867]
[10.67285205 -6.26204944 55.4791193 ], [47.53491473197937]
[10.67005172 -6.31159125 55.47163459], [47.6193642616272]
[10.6662073  -6.36112151 55.46409347], [47.70289206504822]
[10.66236243 -6.41019133 55.45661469], [47.787081241607666]
[10.65852815 -6.4592463  55.44907394], [47.870842695236206]
[10.6552091  -6.50788865 55.44154565], [47.954721212387085]
[ 11.3817355  -11.30555665  54.9200167 ], [48.039036989212036]
[ 10.69327299 -12.1383037   54.54593046], [48.122756481170654]
[ 10.69675612 -12.40793752  54.38374034], [48.207061767578125]
[ 10.38126016 -11.88219054  54.45132995], [48.291242599487305]
[ 10.23816833 -11.69578204  54.44287428], [48.37577986717224]
[ 10.21851333 -11.6544712   54.40690467], [48.45931005477905]
[ 10.27016778 -11.73739884  54.34811515], [48.54378604888916]
[ 10.27377436 -11.7843934   54.30859443], [48.627758264541626]
[ 10.26869403 -11.8191233   54.28330723], [48.711074352264404]
[ 10.25603942 -11.85772724  54.26269153], [48.79445123672485]
[ 10.24895618 -11.90350081  54.24408995], [48.87834644317627]
[ 10.24185327 -11.95063057  54.22713643], [48.96262574195862]
[ 10.23637643 -11.99574785  54.21225973], [49.047487020492554]
[ 10.23140941 -12.04060586  54.19824929], [49.13188695907593]
[ 10.22647512 -12.08595573  54.18454251], [49.21978187561035]
[ 10.22109194 -12.13045884  54.17129248], [49.30687093734741]
[ 10.21572793 -12.17458274  54.15822871], [49.392011880874634]
[ 10.21040481 -12.21804867  54.14532662], [49.47800898551941]
[ 10.20616238 -12.26147433  54.13239392], [49.56331467628479]
[ 10.20191621 -12.30543553  54.1191614 ], [49.64893126487732]
[ 10.19769147 -12.34868378  54.10605972], [49.732550382614136]
[ 10.19346226 -12.39199367  54.09284487], [49.81684494018555]
[ 10.18926483 -12.43398713  54.07995407], [49.900757789611816]
[ 10.18455501 -12.47532036  54.06716809], [49.985135555267334]
[ 10.18038318 -12.51611799  54.05452373], [50.070069789886475]
[  5.68127076 -12.58330387  55.61966621], [50.1545569896698]
[  5.12552788 -12.57377276  55.43353335], [50.23877739906311]
[  5.00143694 -12.56736474  55.30406308], [50.32249927520752]
[  5.58486931 -12.56110394  55.02453958], [50.40676760673523]
[  5.75774145 -12.45971106  54.89066937], [50.494877576828]
[  5.9170286  -12.40388882  54.76256772], [50.58041167259216]
[  5.99343877 -12.40133595  54.66657618], [50.6643385887146]
[  6.05751535 -12.40616885  54.58291558], [50.74900674819946]
[  6.07676871 -12.42309668  54.5235422 ], [50.834078311920166]
[  6.08617437 -12.42811148  54.47694227], [50.91935968399048]
[  6.09007903 -12.44026337  54.44083488], [51.00404238700867]
[  6.09407766 -12.4536532   54.41156876], [51.0891489982605]
[  6.09714503 -12.46771049  54.38839842], [51.17370867729187]
[  6.10093958 -12.48137928  54.36966858], [51.257333755493164]
[  6.10565938 -12.495172    54.3543697 ], [51.34132480621338]
[  6.10943467 -12.51009177  54.34215988], [51.42526936531067]
[  6.11159264 -12.52666241  54.33247633], [51.50935435295105]
[  6.11274546 -12.54383991  54.32468626], [51.593830585479736]
[  6.11391323 -12.56163759  54.31816725], [51.6784234046936]
[  6.11575652 -12.57944426  54.31248586], [51.762563943862915]
[  6.11719828 -12.5972624   54.30775078], [51.847294092178345]
[  6.11820159 -12.61509207  54.30374445], [51.93115949630737]
[  6.11834602 -12.63295685  54.30044004], [52.01537823677063]
[  6.11860347 -12.65137533  54.29739008], [52.09904742240906]
[  6.11869307 -12.66973728  54.2946429 ], [52.18361496925354]
[ 6.28738439 -8.21251802 55.63628889], [52.26788878440857]
[ 5.94336723 -7.41823213 55.58779051], [52.35208058357239]
[ 5.76709101 -7.3013263  55.49632969], [52.43654990196228]
[ 5.60205096 -7.64597366 55.34274145], [52.52088284492493]
[ 5.56433135 -7.72191214 55.26977832], [52.605080366134644]
[ 5.55766156 -7.76490222 55.21313849], [52.688499212265015]
[ 5.58840588 -7.74822215 55.18243131], [52.77272152900696]
[ 5.60597151 -7.74067625 55.15528244], [52.85677790641785]
[ 5.6289191  -7.73398409 55.13663978], [52.940885066986084]
[ 5.64692155 -7.7283012  55.12233211], [53.025014877319336]
[ 5.66406621 -7.7164148  55.11345505], [53.109164237976074]
[ 5.67982813 -7.70496694 55.10741207], [53.19401550292969]
[ 5.69585382 -7.69386639 55.10371977], [53.28429818153381]
[ 5.71167827 -7.68357114 55.10156876], [53.36970591545105]
[ 5.72683681 -7.67452512 55.10041337], [53.45406436920166]
[ 5.74187786 -7.66616196 55.10013621], [53.53743624687195]
[ 5.75684333 -7.65843456 55.10047543], [53.62206220626831]
[ 5.77279071 -7.65081093 55.10148148], [53.70613694190979]
[ 5.7887097  -7.64323406 55.10284083], [53.78917098045349]
[ 5.80459717 -7.63569923 55.10450734], [53.87415909767151]
[ 5.81995594 -7.62870881 55.10624573], [53.95880651473999]
[ 5.83541062 -7.62211677 55.10813019], [54.04281401634216]
[ 5.84903996 -7.61098783 55.1107632 ], [54.126564025878906]
[ 5.86174304 -7.5996136  55.11350147], [54.21061086654663]
[ 5.87328513 -7.58567352 55.11668954], [54.2944495677948]
[ 6.57222941 -2.9838787  56.06316454], [54.37867045402527]
[ 5.83451768 -1.8821688  55.95183144], [54.46305990219116]
[ 5.72152247 -1.5744457  55.93910057], [54.54742407798767]
[ 5.60462053 -1.76419497 55.8838315 ], [54.631887912750244]
[ 5.60803051 -1.91561849 55.85187762], [54.71513915061951]
[ 5.61668578 -1.88543142 55.82857849], [54.800193548202515]
[ 5.63867726 -1.86828257 55.81182933], [54.88445782661438]
[ 5.66531112 -1.82614734 55.80082901], [54.96933889389038]
[ 5.69091201 -1.79118127 55.79275817], [55.054102420806885]
[ 5.71692135 -1.75090861 55.78780771], [55.13860893249512]
[ 5.74384551 -1.71091168 55.78502108], [55.223108768463135]
[ 5.76998987 -1.66979708 55.78369587], [55.307435750961304]
[ 5.79807373 -1.62911374 55.78380081], [55.39312791824341]
[ 5.82572855 -1.588855   55.78460148], [55.47761154174805]
