[4.68803916e-310 4.68803192e-310 4.68804073e-310], [36.796515703201294]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [37.397820234298706]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [37.48390483856201]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [37.56956124305725]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [37.65407395362854]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [37.73728394508362]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [37.82156419754028]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [37.906243085861206]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [37.989991426467896]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [38.07357215881348]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [38.15777945518494]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [38.24290108680725]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [38.32706093788147]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [38.411696434020996]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [38.4960560798645]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [38.580641746520996]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [38.664533376693726]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [38.748424768447876]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [38.833064794540405]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [38.91763162612915]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [39.00240921974182]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [39.08612275123596]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [39.171517848968506]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [39.255348682403564]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [39.33947277069092]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [39.42368125915527]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [39.50728893280029]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [39.59331011772156]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [39.67747688293457]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [39.761213064193726]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [39.844834089279175]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [39.929033279418945]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [40.01358079910278]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [40.097676515579224]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [40.181105613708496]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [40.26456141471863]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [40.347662687301636]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [40.431671380996704]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [40.51642465591431]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [40.59992980957031]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [40.683513164520264]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [40.767913579940796]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [40.857948780059814]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [40.94924736022949]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [41.03973913192749]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [41.12420129776001]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [41.20884704589844]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [41.29377245903015]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [41.377922773361206]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [41.46220517158508]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [41.548356771469116]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [41.632678747177124]
