[0. 0. 0.], [31.057990074157715]
[0.000e+00 1.000e-02 5.501e+01], [31.70706558227539]
[2.000e-02 0.000e+00 5.502e+01], [31.791142463684082]
[ 3.56  0.92 55.25], [31.875032424926758]
[10.6  11.22 54.99], [31.958964586257935]
[ 6.31  5.44 53.9 ], [32.04278111457825]
[ 4.87  4.35 55.27], [32.12551188468933]
[ 3.93  3.78 55.37], [32.209073305130005]
[ 3.89  3.78 55.4 ], [32.292869567871094]
[ 3.79  3.88 55.48], [32.37652325630188]
[ 3.71  3.86 55.43], [32.461339712142944]
[ 3.75  3.77 55.4 ], [32.545392990112305]
[ 3.73  3.77 55.39], [32.62963938713074]
[ 3.73  3.77 55.41], [32.713263273239136]
[ 3.71  3.77 55.42], [32.79805827140808]
[ 3.67  3.73 55.42], [32.88205647468567]
[ 3.65  3.69 55.42], [32.96675491333008]
[ 3.64  3.67 55.41], [33.05092740058899]
[ 3.64  3.67 55.41], [33.13556170463562]
[ 3.63  3.67 55.4 ], [33.21975660324097]
[ 3.62  3.67 55.41], [33.303284645080566]
[ 3.61  3.67 55.41], [33.38725924491882]
[ 3.61  3.67 55.41], [33.470858573913574]
[ 3.61  3.68 55.39], [33.55439209938049]
[ 3.61  3.68 55.39], [33.63762545585632]
[ 3.61  3.66 55.4 ], [33.721864223480225]
[ 3.62  3.66 55.41], [33.80577516555786]
[ 3.61  3.65 55.4 ], [33.88953948020935]
[ 6.71  5.28 53.41], [33.973970890045166]
[16.12 13.07 54.61], [34.05726957321167]
[10.95  8.3  51.4 ], [34.14682912826538]
[ 9.67  8.72 53.71], [34.231276750564575]
[ 9.32  9.08 54.67], [34.314459800720215]
[ 9.15  8.79 54.82], [34.398672103881836]
[ 8.95  8.76 54.86], [34.482959032058716]
[ 8.91  8.42 54.56], [34.56613516807556]
[ 8.88  8.38 54.6 ], [34.650092363357544]
[ 8.85  8.21 54.51], [34.733612060546875]
[ 8.7   8.12 54.6 ], [34.817362785339355]
[ 8.69  8.07 54.77], [34.90172028541565]
[ 8.56  8.03 54.69], [34.98519468307495]
[ 8.57  8.   54.74], [35.06959056854248]
[ 8.56  7.99 54.72], [35.15298390388489]
[ 8.56  7.98 54.73], [35.23658585548401]
[ 8.55  7.97 54.73], [35.32039833068848]
[ 8.55  7.97 54.72], [35.404560804367065]
[ 8.54  7.97 54.72], [35.48887586593628]
[ 8.54  7.96 54.72], [35.571940898895264]
[ 8.54  7.95 54.72], [35.654913663864136]
[ 8.53  7.96 54.72], [35.73809599876404]
[ 8.53  7.96 54.71], [35.822240114212036]
[ 8.53  7.96 54.7 ], [35.905871629714966]
[ 8.53  7.95 54.7 ], [35.98898649215698]
[ 9.33  4.94 55.23], [36.0732159614563]
[10.63 -2.54 55.57], [36.1573543548584]
[11.35  3.89 55.55], [36.24146842956543]
[ 9.4   3.73 55.77], [36.3254599571228]
[ 8.59  4.29 55.6 ], [36.409069776535034]
[ 8.51  3.94 55.42], [36.49335265159607]
[ 8.46  3.98 55.46], [36.57702040672302]
[ 8.43  3.81 55.29], [36.66066002845764]
[ 8.38  3.93 55.43], [36.744500398635864]
[ 8.35  3.97 55.41], [36.82814073562622]
[ 8.34  4.02 55.38], [36.91211795806885]
[ 8.33  4.04 55.42], [37.00209975242615]
[ 8.33  4.03 55.41], [37.08626055717468]
[ 8.32  4.03 55.42], [37.170121908187866]
[ 8.3   4.02 55.4 ], [37.25382852554321]
[ 8.27  4.05 55.42], [37.338134765625]
[ 8.21  4.09 55.43], [37.42161774635315]
[ 8.19  4.12 55.45], [37.505645751953125]
[ 8.18  4.14 55.44], [37.59008479118347]
[ 8.15  4.15 55.44], [37.67366909980774]
[ 8.14  4.15 55.44], [37.75810384750366]
[ 8.14  4.15 55.44], [37.84161829948425]
[ 8.15  4.16 55.45], [37.92556715011597]
[ 8.14  4.15 55.44], [38.01020860671997]
[ 8.13  4.16 55.43], [38.093897581100464]
[ 8.63  2.01 55.55], [38.177037954330444]
[11.61 -6.49 54.49], [38.26033616065979]
[10.71  0.41 55.61], [38.344889402389526]
[ 9.41  0.93 55.95], [38.42867660522461]
