[1.42108547e-14 0.00000000e+00 5.50000000e+01], [31.057428121566772]
[ 4.55110794  4.9648625  56.16124788], [31.706511974334717]
[ 4.82907865  5.10159523 55.81452904], [31.790918588638306]
[ 4.8410129   5.08390673 55.71973241], [31.874807119369507]
[ 4.85395011  5.07586198 55.66409984], [31.958741664886475]
[ 4.86566399  5.06997612 55.61837898], [32.042572259902954]
[ 4.87481454  5.06511928 55.58030664], [32.12528038024902]
[ 4.88188802  5.06112794 55.54896246], [32.2087938785553]
[ 4.88737945  5.05787474 55.52337378], [32.29256343841553]
[ 4.89165785  5.05523991 55.50261892], [32.37628483772278]
[ 4.89499913  5.05311682 55.48587405], [32.460923194885254]
[ 4.89761258  5.05141337 55.47242461], [32.545178174972534]
[ 4.89965858  5.05005159 55.4616631 ], [32.62938404083252]
[ 4.90126102  5.04896635 55.4530806 ], [32.7129909992218]
[ 4.90251615  5.04810388 55.44625555], [32.79744291305542]
[ 4.90349905  5.04742011 55.44084181], [32.88181257247925]
[ 4.90426849  5.0468792  55.43655723], [32.96635389328003]
[ 4.90487051  5.04645214 55.43317313], [33.05071306228638]
[ 4.90534126  5.04611556 55.43050512], [33.134989976882935]
[ 4.90570913  5.04585072 55.42840515], [33.21952724456787]
[ 4.90599642  5.04564264 55.42675475], [33.30305337905884]
[ 4.90622061  5.04547937 55.42545947], [33.38703012466431]
[ 4.90639545  5.04535142 55.42444417], [33.47062611579895]
[ 4.90653171  5.04525127 55.42364926], [33.55416488647461]
[ 4.90663783  5.04517297 55.42302756], [33.63739633560181]
[ 4.90672043  5.0451118  55.42254183], [33.721630573272705]
[ 9.73106092 10.01838234 55.49896872], [33.80555772781372]
[ 9.90549109 10.04815579 55.23215145], [33.889310359954834]
[ 9.89407032 10.0349402  55.20520116], [33.973743200302124]
[ 9.90183965 10.02784003 55.17763044], [34.05697679519653]
[ 9.91067492 10.01814955 55.13765367], [34.14639377593994]
[ 9.91765233 10.00733028 55.09324618], [34.230915546417236]
[ 9.92300751  9.99660001 55.04929044], [34.31420397758484]
[ 9.92711259  9.98659861 55.00832483], [34.398043155670166]
[ 9.9302674   9.97762335 54.9715397 ], [34.48261117935181]
[ 9.93270291  9.96977128 54.93933076], [34.56585192680359]
[ 9.93459324  9.96302545 54.9116357 ], [34.64976239204407]
[ 9.93606839  9.95730796 54.88814428], [34.733216524124146]
[ 9.93722528  9.95251245 54.86842816], [34.81681942939758]
[ 9.93813648  9.94852349 54.85201948], [34.901320457458496]
[ 9.9388567   9.94522769 54.83845672], [34.98490834236145]
[ 9.93942757  9.9425197  54.8273097 ], [35.069307804107666]
[ 9.93988099  9.94030507 54.8181917 ], [35.15261936187744]
[ 9.93958755  9.9396118  54.81539024], [35.23635482788086]
[ 9.93944444  9.93946799 54.81480844], [35.32016682624817]
[ 9.93941342  9.93943509 54.81466482], [35.40433049201965]
[ 9.93940552  9.93942537 54.81461495], [35.488595724105835]
[ 9.93940252  9.93942097 54.81458828], [35.57171368598938]
[ 9.93940079  9.93941819 54.8145698 ], [35.654685258865356]
[ 9.93939956  9.93941618 54.81455582], [35.73789143562317]
[ 9.93939862  9.93941468 54.814545  ], [35.8220009803772]
[ 9.8993967   5.25032161 55.94924088], [35.90563726425171]
[ 9.88716637  5.09064198 55.90609558], [35.98871088027954]
[ 9.89035743  5.09138224 55.8565869 ], [36.07294178009033]
[ 9.89338984  5.0880118  55.81720195], [36.15707182884216]
[ 9.89589669  5.08475144 55.78552811], [36.24122333526611]
[ 9.8979819   5.08217261 55.75988963], [36.32492780685425]
