[ 0.  0. 55.], [31.05819034576416]
[ 5.  5. 55.], [31.70725727081299]
[ 5.  5. 55.], [31.791276931762695]
[ 5.  5. 55.], [31.875147342681885]
[ 5.  5. 55.], [31.95907688140869]
[ 5.  5. 55.], [32.04289722442627]
[ 5.  5. 55.], [32.125624895095825]
[ 5.  5. 55.], [32.209187507629395]
[ 5.  5. 55.], [32.293025732040405]
[ 5.  5. 55.], [32.37669324874878]
[ 5.  5. 55.], [32.461453437805176]
[ 5.  5. 55.], [32.54558277130127]
[ 5.  5. 55.], [32.62975263595581]
[ 5.  5. 55.], [32.71337366104126]
[ 5.  5. 55.], [32.798210859298706]
[ 5.  5. 55.], [32.88217377662659]
[ 5.  5. 55.], [32.96694350242615]
[ 5.  5. 55.], [33.05108094215393]
[ 5.  5. 55.], [33.13571858406067]
[ 5.  5. 55.], [33.219874143600464]
[ 5.  5. 55.], [33.30340266227722]
[ 5.  5. 55.], [33.38737726211548]
[ 5.  5. 55.], [33.47097563743591]
[ 5.  5. 55.], [33.5545117855072]
[ 5.  5. 55.], [33.6377432346344]
[ 5.  5. 55.], [33.72198128700256]
[10. 10. 55.], [33.8058922290802]
[10. 10. 55.], [33.88965725898743]
[10. 10. 55.], [33.97416615486145]
[10. 10. 55.], [34.05738830566406]
[10. 10. 55.], [34.146950244903564]
[10. 10. 55.], [34.23139524459839]
[10. 10. 55.], [34.31458020210266]
[10. 10. 55.], [34.398826360702515]
[10. 10. 55.], [34.4830756187439]
[10. 10. 55.], [34.566291093826294]
[10. 10. 55.], [34.65020966529846]
[10. 10. 55.], [34.7337851524353]
[10. 10. 55.], [34.81759071350098]
[10. 10. 55.], [34.901838064193726]
[10. 10. 55.], [34.9853892326355]
[10. 10. 55.], [35.06974148750305]
[10. 10. 55.], [35.15313363075256]
[10. 10. 55.], [35.236777544021606]
[10. 10. 55.], [35.320560693740845]
[10. 10. 55.], [35.404831647872925]
[10. 10. 55.], [35.48899245262146]
[10. 10. 55.], [35.572057008743286]
[10. 10. 55.], [35.65502905845642]
[10. 10. 55.], [35.738210916519165]
[10. 10. 55.], [35.82235860824585]
[10.  5. 55.], [35.90598797798157]
[10.  5. 55.], [35.98910212516785]
[10.  5. 55.], [36.07333278656006]
[10.  5. 55.], [36.157469272613525]
[10.  5. 55.], [36.241588830947876]
[10.  5. 55.], [36.32560110092163]
[10.  5. 55.], [36.40918707847595]
[10.  5. 55.], [36.49347639083862]
[10.  5. 55.], [36.57714033126831]
[10.  5. 55.], [36.66086030006409]
[10.  5. 55.], [36.74466514587402]
[10.  5. 55.], [36.82826113700867]
[10.  5. 55.], [36.91223978996277]
[10.  5. 55.], [37.00228714942932]
[10.  5. 55.], [37.08637857437134]
[10.  5. 55.], [37.17024207115173]
[10.  5. 55.], [37.2539484500885]
[10.  5. 55.], [37.33825135231018]
[10.  5. 55.], [37.421733140945435]
[10.  5. 55.], [37.50575923919678]
[10.  5. 55.], [37.59019875526428]
