[0. 0. 0.], [40.23710036277771]
[-1.0e-02  0.0e+00  5.5e+01], [40.83467197418213]
[-1.0e-02 -1.0e-02  5.5e+01], [40.918606758117676]
[ 2.11  0.18 55.52], [41.00249218940735]
[14.35 11.58 51.39], [41.08616304397583]
[ 6.59  6.94 53.2 ], [41.17212176322937]
[ 4.8   4.16 54.21], [41.256494998931885]
[ 3.87  3.76 54.92], [41.3397319316864]
[ 3.49  4.13 55.19], [41.42230534553528]
[ 3.33  4.25 55.47], [41.5070116519928]
[ 3.19  4.19 55.2 ], [41.59188175201416]
[ 3.23  4.3  55.34], [41.68221664428711]
[ 3.21  4.28 55.34], [41.76654243469238]
[ 3.21  4.27 55.35], [41.85099792480469]
[ 3.18  4.25 55.35], [41.93499159812927]
[ 3.15  4.22 55.36], [42.01941275596619]
[ 3.13  4.18 55.35], [42.102360248565674]
[ 3.13  4.17 55.35], [42.18658947944641]
[ 3.12  4.16 55.35], [42.2706561088562]
[ 3.12  4.15 55.35], [42.35522651672363]
[ 3.12  4.14 55.34], [42.4389750957489]
[ 3.11  4.15 55.35], [42.52357578277588]
[ 3.11  4.15 55.34], [42.60732698440552]
[ 3.12  4.15 55.34], [42.69025373458862]
[ 3.12  4.14 55.34], [42.77429461479187]
[ 3.13  4.14 55.35], [42.85827374458313]
[ 3.12  4.15 55.35], [42.94136714935303]
[ 3.11  4.15 55.36], [43.02476143836975]
[ 4.61  3.65 54.96], [43.10828185081482]
[14.2  14.79 54.41], [43.19086694717407]
[10.41  9.4  52.84], [43.27550172805786]
[ 8.5   9.64 54.26], [43.35935831069946]
[ 8.15  9.63 54.48], [43.44371795654297]
[ 8.54  9.45 54.73], [43.52747845649719]
[ 8.36  9.27 54.53], [43.611873149871826]
[ 8.2   8.99 54.58], [43.695592164993286]
[ 8.16  8.79 54.34], [43.78006315231323]
[ 8.03  8.75 54.68], [43.86418294906616]
[ 7.92  8.66 54.56], [43.94881534576416]
[ 7.92  8.6  54.65], [44.03302001953125]
[ 7.83  8.54 54.65], [44.11666822433472]
[ 7.8   8.52 54.65], [44.20040941238403]
[ 7.82  8.5  54.62], [44.28457260131836]
[ 7.82  8.49 54.63], [44.368353605270386]
[ 7.84  8.47 54.63], [44.452495098114014]
[ 7.84  8.47 54.62], [44.535969972610474]
[ 7.83  8.47 54.62], [44.61906552314758]
[ 7.83  8.47 54.62], [44.70240592956543]
[ 7.83  8.47 54.61], [44.78652381896973]
[ 7.82  8.46 54.61], [44.87006163597107]
[ 7.82  8.47 54.6 ], [44.953635454177856]
[ 7.81  8.47 54.61], [45.03721618652344]
[ 7.81  8.47 54.61], [45.12120723724365]
[ 7.93  8.23 57.18], [45.20482611656189]
[11.16 -2.71 56.03], [45.28901958465576]
[10.81  4.69 56.31], [45.37256836891174]
[ 8.86  4.59 55.77], [45.455501317977905]
[ 8.4   4.6  55.83], [45.53967881202698]
[ 8.15  4.25 55.62], [45.62416362762451]
[ 7.99  4.13 55.56], [45.707993507385254]
[ 7.97  4.36 55.54], [45.79227161407471]
[ 7.87  4.44 55.59], [45.8756103515625]
[ 7.89  4.38 55.59], [45.95932126045227]
[ 7.88  4.46 55.64], [46.043426752090454]
[ 7.87  4.47 55.63], [46.12771201133728]
[ 7.87  4.47 55.62], [46.2116162776947]
[ 7.86  4.48 55.62], [46.29617094993591]
[ 7.85  4.48 55.62], [46.3802649974823]
[ 7.8   4.51 55.62], [46.465803384780884]
[ 7.75  4.54 55.62], [46.54980969429016]
[ 7.74  4.58 55.62], [46.63931727409363]
[ 7.74  4.61 55.61], [46.72290897369385]
[ 7.74  4.63 55.6 ], [46.80700159072876]
[ 7.73  4.63 55.59], [46.89037895202637]
[ 7.73  4.63 55.59], [46.974717140197754]
[ 7.72  4.64 55.59], [47.05858278274536]
[ 7.72  4.64 55.59], [47.142133474349976]
[ 7.72  4.64 55.58], [47.22613716125488]
[ 9.12  1.07 55.26], [47.31027579307556]
[12.07 -6.72 55.57], [47.39487600326538]
[10.47 -0.38 55.81], [47.4783194065094]
[ 9.27  0.5  56.2 ], [47.56200408935547]
[ 8.95  0.45 56.1 ], [47.644537925720215]
[ 8.65  0.76 56.09], [47.7284996509552]
[ 8.74  0.63 56.06], [47.81314301490784]
[ 8.73  0.49 55.97], [47.8964159488678]
[ 8.66  0.55 56.05], [47.98009657859802]
[ 8.7   0.51 56.03], [48.06364417076111]
[ 8.69  0.51 56.02], [48.14768075942993]
[ 8.68  0.51 56.02], [48.230533599853516]
[ 8.66  0.53 56.01], [48.313695192337036]
[ 8.64  0.55 56.  ], [48.39745879173279]
[ 8.64  0.57 55.99], [48.48081111907959]
[ 8.64  0.58 55.98], [48.5656418800354]
[ 8.66  0.57 55.97], [48.649444818496704]
[ 8.65  0.6  55.98], [48.73342776298523]
[ 8.65  0.62 55.98], [48.81733298301697]
[ 8.63  0.64 56.01], [48.900487184524536]
[ 8.63  0.64 56.  ], [48.98529362678528]
[ 8.62  0.64 56.01], [49.069863080978394]
[ 8.61  0.64 56.  ], [49.153728008270264]
[ 8.61  0.64 56.  ], [49.238242626190186]
[ 8.6   0.64 56.  ], [49.32203459739685]
[ 8.74  0.33 57.16], [49.40578365325928]
[ 12.37 -10.51  54.55], [49.4894642829895]
[10.88 -5.25 55.4 ], [49.574169397354126]
[ 9.25 -3.66 55.92], [49.658278465270996]
[ 8.96 -3.03 55.96], [49.74260902404785]
[ 8.84 -3.21 55.88], [49.82686495780945]
[ 8.85 -3.25 55.88], [49.91101026535034]
[ 8.69 -3.15 55.99], [49.99502182006836]
[ 8.61 -3.16 56.01], [50.07876920700073]
[ 8.68 -3.2  55.99], [50.162407636642456]
[ 8.66 -3.21 55.99], [50.24756360054016]
[ 8.65 -3.2  55.98], [50.332261085510254]
[ 8.61 -3.2  55.99], [50.417256116867065]
[ 8.57 -3.08 55.95], [50.501498222351074]
[ 8.58 -3.11 55.97], [50.58555340766907]
[ 8.59 -3.05 55.96], [50.67507886886597]
[ 8.61 -3.03 55.97], [50.76535773277283]
[ 8.57 -3.01 55.98], [50.84931540489197]
[ 8.57 -3.   55.98], [50.93340063095093]
[ 8.56 -2.99 55.99], [51.01739740371704]
[ 8.55 -2.99 55.99], [51.10140109062195]
[ 8.55 -2.99 56.  ], [51.18512797355652]
[ 8.55 -2.98 55.99], [51.269264936447144]
[ 8.55 -2.98 55.99], [51.35359025001526]
[ 8.53 -2.97 55.99], [51.43642973899841]
[ 7.54 -4.29 57.06], [51.51915979385376]
[ 13.62 -16.23  50.21], [51.60294198989868]
[11.19 -9.37 55.06], [51.68726706504822]
[10.25 -6.74 55.12], [51.77116870880127]
[ 8.71 -7.37 55.8 ], [51.85460114479065]
[ 9.  -6.9 55.6], [51.93834352493286]
[ 9.35 -7.1  55.51], [52.02137064933777]
[ 9.26 -6.88 55.53], [52.10373067855835]
[ 9.24 -6.75 55.6 ], [52.18719148635864]
[ 9.06 -6.8  55.52], [52.270885944366455]
[ 9.19 -6.7  55.59], [52.35488963127136]
[ 9.16 -6.66 55.55], [52.43915510177612]
[ 9.14 -6.62 55.57], [52.52193236351013]
[ 9.13 -6.6  55.58], [52.60570502281189]
[ 9.14 -6.6  55.58], [52.68957567214966]
[ 9.14 -6.6  55.58], [52.77351951599121]
[ 9.14 -6.59 55.58], [52.85762619972229]
[ 9.14 -6.59 55.57], [52.94179701805115]
[ 9.13 -6.58 55.57], [53.02508735656738]
[ 9.11 -6.57 55.58], [53.10744905471802]
[ 9.11 -6.56 55.59], [53.19174361228943]
[ 9.11 -6.55 55.59], [53.274948835372925]
[ 9.1  -6.54 55.59], [53.35744309425354]
[ 9.1  -6.53 55.59], [53.44037222862244]
[ 9.08 -6.52 55.6 ], [53.52432942390442]
[ 6.17 -7.48 56.91], [53.609214544296265]
[-4.29 -5.38 53.64], [53.692832708358765]
[ 1.47 -8.41 55.56], [53.776549100875854]
[ 2.73 -7.09 55.63], [53.860997915267944]
[ 2.64 -6.87 55.81], [53.945117712020874]
[ 2.88 -7.03 55.65], [54.029797077178955]
[ 2.92 -6.92 55.68], [54.113231897354126]
[ 3.02 -6.93 55.63], [54.196922063827515]
[ 3.05 -6.93 55.62], [54.281134605407715]
[ 3.1  -6.91 55.61], [54.364479541778564]
[ 3.13 -6.91 55.6 ], [54.44836354255676]
[ 3.13 -6.91 55.59], [54.53229379653931]
[ 3.13 -6.9  55.57], [54.61599111557007]
[ 3.15 -6.92 55.57], [54.700170278549194]
[ 3.16 -6.94 55.57], [54.78419256210327]
[ 3.16 -6.98 55.58], [54.86781907081604]
[ 3.17 -6.97 55.56], [54.951411962509155]
[ 3.17 -6.98 55.56], [55.034414768218994]
[ 3.17 -6.98 55.55], [55.11786222457886]
[ 3.17 -6.98 55.55], [55.20088219642639]
[ 3.18 -6.98 55.53], [55.28423500061035]
[ 3.18 -6.98 55.53], [55.3676552772522]
[ 3.18 -6.98 55.53], [55.45202660560608]
[ 3.17 -6.98 55.53], [55.53535461425781]
[ 3.16 -6.98 55.53], [55.619322299957275]
[ 4.25 -4.92 55.41], [55.703275203704834]
[ 6.07  4.09 57.15], [55.786712646484375]
[ 4.41 -0.93 56.09], [55.869811058044434]
[ 3.72 -1.43 56.29], [55.953086376190186]
[ 3.87 -2.41 55.96], [56.036808013916016]
[ 3.68 -2.19 56.04], [56.120335817337036]
[ 3.64 -2.27 56.03], [56.20395565032959]
[ 3.65 -2.29 56.03], [56.28678631782532]
[ 3.62 -2.4  56.  ], [56.37087893486023]
[ 3.6  -2.41 55.99], [56.45448327064514]
[ 3.58 -2.45 55.97], [56.53860092163086]
[ 3.57 -2.44 55.98], [56.62232446670532]
[ 3.56 -2.44 55.96], [56.70594763755798]
[ 3.55 -2.46 55.95], [56.78929257392883]
[ 3.55 -2.44 55.94], [56.873212575912476]
[ 3.53 -2.45 55.94], [56.956236839294434]
[ 3.53 -2.44 55.95], [57.03973197937012]
[ 3.53 -2.44 55.96], [57.1227662563324]
[ 3.53 -2.44 55.96], [57.20627760887146]
[ 3.52 -2.42 55.96], [57.29157996177673]
[ 3.52 -2.42 55.96], [57.37440299987793]
[ 3.51 -2.41 55.95], [57.457754373550415]
[ 3.51 -2.42 55.94], [57.541603088378906]
[ 3.5  -2.43 55.95], [57.62461495399475]
[ 3.49 -2.43 55.95], [57.70745801925659]
[ 4.61 -1.87 55.76], [57.7910258769989]
[ 7.02 11.37 59.35], [57.874449014663696]
[ 4.37  5.64 56.95], [57.95740294456482]
[ 3.92  2.05 56.07], [58.0409152507782]
[ 3.53  1.67 56.23], [58.124687910079956]
[ 3.5   1.04 56.05], [58.20927715301514]
[ 3.59  1.11 56.  ], [58.29296636581421]
[ 3.6   0.9  56.06], [58.37727379798889]
[ 3.64  0.95 56.06], [58.46118998527527]
[ 3.64  0.95 56.06], [58.54509902000427]
[ 3.64  1.   56.05], [58.62937045097351]
[ 3.63  1.   56.06], [58.712342500686646]
[ 3.61  0.98 56.04], [58.7956120967865]
[ 3.57  0.94 56.05], [58.88011312484741]
[ 3.55  0.89 56.03], [58.96347451210022]
[ 3.56  0.87 56.04], [59.04839634895325]
[ 3.61  0.86 56.03], [59.1331627368927]
[ 3.61  0.86 56.02], [59.2170991897583]
[ 3.59  0.86 56.02], [59.30177593231201]
[ 3.56  0.86 56.02], [59.385932207107544]
[ 3.55  0.86 56.03], [59.470379114151]
[ 3.51  0.86 56.03], [59.554893493652344]
[ 3.52  0.85 56.02], [59.63890528678894]
[ 3.51  0.85 56.02], [59.72338247299194]
[ 3.52  0.86 56.02], [59.80813550949097]
[ 1.18  0.58 54.58], [59.892149686813354]
[-5.67 -0.44 55.47], [59.97535514831543]
[-2.91  1.6  56.18], [60.0591835975647]
[-1.06  0.66 55.96], [60.142866134643555]
[-0.67  0.27 55.44], [60.22540616989136]
[-0.46  0.23 55.37], [60.30922794342041]
[-0.38  0.21 55.33], [60.39218831062317]
[-0.38  0.18 55.31], [60.475011110305786]
[-0.36  0.18 55.3 ], [60.558096170425415]
[-0.36  0.18 55.28], [60.64202046394348]
[-0.37  0.18 55.27], [60.72531175613403]
