[1.42108547e-14 0.00000000e+00 5.50000000e+01], [40.23655104637146]
[ 4.55110794  4.9648625  56.16124788], [40.834248781204224]
[ 4.82907865  5.10159523 55.81452904], [40.91822695732117]
[ 4.8410129   5.08390673 55.71973241], [41.002108335494995]
[ 4.85395011  5.07586198 55.66409984], [41.08572435379028]
[ 4.86566399  5.06997612 55.61837898], [41.171658754348755]
[ 4.87481454  5.06511928 55.58030664], [41.255974769592285]
[ 4.88188802  5.06112794 55.54896246], [41.33949613571167]
[ 4.88737945  5.05787474 55.52337378], [41.42214512825012]
[ 4.89165785  5.05523991 55.50261892], [41.50656175613403]
[ 4.89499913  5.05311682 55.48587405], [41.59156084060669]
[ 4.89761258  5.05141337 55.47242461], [41.68158268928528]
[ 4.89965858  5.05005159 55.4616631 ], [41.76604461669922]
[ 4.90126102  5.04896635 55.4530806 ], [41.85066318511963]
[ 4.90251615  5.04810388 55.44625555], [41.934834480285645]
[ 4.90349905  5.04742011 55.44084181], [42.01892280578613]
[ 4.90426849  5.0468792  55.43655723], [42.102210998535156]
[ 4.90487051  5.04645214 55.43317313], [42.18619894981384]
[ 4.90534126  5.04611556 55.43050512], [42.27015256881714]
[ 4.90570913  5.04585072 55.42840515], [42.35487389564514]
[ 4.90599642  5.04564264 55.42675475], [42.43882608413696]
[ 4.90622061  5.04547937 55.42545947], [42.52307868003845]
[ 4.90639545  5.04535142 55.42444417], [42.60684108734131]
[ 4.90653171  5.04525127 55.42364926], [42.69010853767395]
[ 4.90663783  5.04517297 55.42302756], [42.77373170852661]
[ 4.90672043  5.0451118  55.42254183], [42.8577446937561]
[ 9.73106092 10.01838234 55.49896872], [42.94110441207886]
[ 9.90549109 10.04815579 55.23215145], [43.02434682846069]
[ 9.89407032 10.0349402  55.20520116], [43.10813236236572]
[ 9.90183965 10.02784003 55.17763044], [43.19064807891846]
[ 9.91067492 10.01814955 55.13765367], [43.27508592605591]
[ 9.91765233 10.00733028 55.09324618], [43.359018087387085]
[ 9.92300751  9.99660001 55.04929044], [43.443405628204346]
[ 9.92711259  9.98659861 55.00832483], [43.52711796760559]
[ 9.9302674   9.97762335 54.9715397 ], [43.611682415008545]
[ 9.93270291  9.96977128 54.93933076], [43.69509983062744]
[ 9.93459324  9.96302545 54.9116357 ], [43.77964520454407]
[ 9.93606839  9.95730796 54.88814428], [43.86381244659424]
[ 9.93722528  9.95251245 54.86842816], [43.94843626022339]
[ 9.93813648  9.94852349 54.85201948], [44.03273606300354]
[ 9.9388567   9.94522769 54.83845672], [44.11638617515564]
[ 9.93942757  9.9425197  54.8273097 ], [44.2000789642334]
[ 9.93988099  9.94030507 54.8181917 ], [44.284356117248535]
[ 9.93958755  9.9396118  54.81539024], [44.367851972579956]
[ 9.93944444  9.93946799 54.81480844], [44.45211362838745]
[ 9.93941342  9.93943509 54.81466482], [44.53557300567627]
[ 9.93940552  9.93942537 54.81461495], [44.618913412094116]
[ 9.93940252  9.93942097 54.81458828], [44.702215909957886]
[ 9.93940079  9.93941819 54.8145698 ], [44.78620624542236]
[ 9.93939956  9.93941618 54.81455582], [44.86983251571655]
[ 9.93939862  9.93941468 54.814545  ], [44.95347213745117]
