[ 0.  0. 55.], [40.23726773262024]
[ 5.  5. 55.], [40.83479070663452]
[ 5.  5. 55.], [40.91867780685425]
[ 5.  5. 55.], [41.0026535987854]
[ 5.  5. 55.], [41.0863573551178]
[ 5.  5. 55.], [41.17219352722168]
[ 5.  5. 55.], [41.25660300254822]
[ 5.  5. 55.], [41.33980202674866]
[ 5.  5. 55.], [41.42237734794617]
[ 5.  5. 55.], [41.50708293914795]
[ 5.  5. 55.], [41.5919554233551]
[ 5.  5. 55.], [41.682400941848755]
[ 5.  5. 55.], [41.76673889160156]
[ 5.  5. 55.], [41.85117030143738]
[ 5.  5. 55.], [41.935099601745605]
[ 5.  5. 55.], [42.01952242851257]
[ 5.  5. 55.], [42.10243248939514]
[ 5.  5. 55.], [42.18673038482666]
[ 5.  5. 55.], [42.270779848098755]
[ 5.  5. 55.], [42.35529899597168]
[ 5.  5. 55.], [42.4391188621521]
[ 5.  5. 55.], [42.5236451625824]
[ 5.  5. 55.], [42.607470750808716]
[ 5.  5. 55.], [42.69040536880493]
[ 5.  5. 55.], [42.77436351776123]
[ 5.  5. 55.], [42.85836219787598]
[10. 10. 55.], [42.94143581390381]
[10. 10. 55.], [43.02488565444946]
[10. 10. 55.], [43.10839557647705]
[10. 10. 55.], [43.190972566604614]
[10. 10. 55.], [43.27562403678894]
[10. 10. 55.], [43.35951375961304]
[10. 10. 55.], [43.44386005401611]
[10. 10. 55.], [43.527655839920044]
[10. 10. 55.], [43.61201786994934]
[10. 10. 55.], [43.695749282836914]
[10. 10. 55.], [43.78016901016235]
[10. 10. 55.], [43.864357233047485]
[10. 10. 55.], [43.9489963054657]
[10. 10. 55.], [44.033125162124634]
[10. 10. 55.], [44.116740226745605]
[10. 10. 55.], [44.20056414604187]
[10. 10. 55.], [44.2846999168396]
[10. 10. 55.], [44.36845397949219]
[10. 10. 55.], [44.452719926834106]
[10. 10. 55.], [44.53604054450989]
[10. 10. 55.], [44.61921286582947]
[10. 10. 55.], [44.70247411727905]
[10. 10. 55.], [44.78669810295105]
[10. 10. 55.], [44.87013077735901]
[10. 10. 55.], [44.95374894142151]
[10.  5. 55.], [45.037338972091675]
[10.  5. 55.], [45.121333599090576]
[10.  5. 55.], [45.20495128631592]
[10.  5. 55.], [45.28917407989502]
[10.  5. 55.], [45.37266254425049]
[10.  5. 55.], [45.455634117126465]
[10.  5. 55.], [45.53975033760071]
[10.  5. 55.], [45.624236822128296]
[10.  5. 55.], [45.7081024646759]
[10.  5. 55.], [45.792383909225464]
[10.  5. 55.], [45.8756787776947]
[10.  5. 55.], [45.959428787231445]
[10.  5. 55.], [46.043591260910034]
[10.  5. 55.], [46.127782583236694]
[10.  5. 55.], [46.21168780326843]
[10.  5. 55.], [46.29628348350525]
[10.  5. 55.], [46.380388021469116]
[10.  5. 55.], [46.46595215797424]
[10.  5. 55.], [46.54987692832947]
[10.  5. 55.], [46.639392137527466]
[10.  5. 55.], [46.72307014465332]
[10.  5. 55.], [46.80715012550354]
[10.  5. 55.], [46.890525579452515]
[10.  5. 55.], [46.97480773925781]
[10.  5. 55.], [47.05872845649719]
[10.  0. 55.], [47.14220070838928]
[10.  0. 55.], [47.22623944282532]
[10.  0. 55.], [47.31038045883179]
[10.  0. 55.], [47.39498972892761]
[10.  0. 55.], [47.47842597961426]
[10.  0. 55.], [47.56211018562317]
[10.  0. 55.], [47.644641160964966]
[10.  0. 55.], [47.72865080833435]
[10.  0. 55.], [47.81320858001709]
[10.  0. 55.], [47.896575927734375]
[10.  0. 55.], [47.98022127151489]
[10.  0. 55.], [48.063822507858276]
[10.  0. 55.], [48.1477484703064]
[10.  0. 55.], [48.23063778877258]
[10.  0. 55.], [48.31376361846924]
[10.  0. 55.], [48.39760732650757]
[10.  0. 55.], [48.48096752166748]
[10.  0. 55.], [48.565778732299805]
[10.  0. 55.], [48.6496148109436]
[10.  0. 55.], [48.733598947525024]
[10.  0. 55.], [48.817399978637695]
[10.  0. 55.], [48.900681018829346]
[10.  0. 55.], [48.985443115234375]
[10.  0. 55.], [49.070024251937866]
[10.  0. 55.], [49.15379452705383]
[10. -5. 55.], [49.238359689712524]
[10. -5. 55.], [49.32217979431152]
[10. -5. 55.], [49.405848264694214]
[10. -5. 55.], [49.489572525024414]
[10. -5. 55.], [49.574323415756226]
[10. -5. 55.], [49.65838050842285]
[10. -5. 55.], [49.74271273612976]
[10. -5. 55.], [49.827004194259644]
[10. -5. 55.], [49.91112542152405]
[10. -5. 55.], [49.995206117630005]
[10. -5. 55.], [50.07887363433838]
[10. -5. 55.], [50.1624960899353]
[10. -5. 55.], [50.247724294662476]
[10. -5. 55.], [50.33246850967407]
[10. -5. 55.], [50.417328119277954]
[10. -5. 55.], [50.50164842605591]
[10. -5. 55.], [50.58569669723511]
[10. -5. 55.], [50.6753876209259]
[10. -5. 55.], [50.76573204994202]
[10. -5. 55.], [50.8494770526886]
[10. -5. 55.], [50.93346834182739]
[10. -5. 55.], [51.01754188537598]
[10. -5. 55.], [51.10151290893555]
[10. -5. 55.], [51.185237407684326]
[10. -5. 55.], [51.26939272880554]
