[0. 0. 0.], [34.97426080703735]
[-7.43184572e-14  5.70848075e-15  3.50879521e-13], [36.173539876937866]
[-2.58226023e-05  1.04679696e-05 -3.49072163e-06], [36.34012722969055]
[ 3.88705658  0.00802069 -0.66175665], [36.50757932662964]
[ 5.27435523  0.01323341 -1.0167943 ], [36.67249512672424]
[ 4.5567663   0.64536188 -0.99112196], [36.83792424201965]
[ 3.54379696 -0.26557216 -0.90717142], [37.00416278839111]
[ 4.10373313  0.27117281 -1.19911401], [37.16863417625427]
[ 4.11838176 -0.14931032 -1.45650634], [37.33397626876831]
[ 3.64311239  0.1760099  -1.63833767], [37.4997284412384]
[ 2.66881822 -0.54428509 -1.7113304 ], [37.664734840393066]
[ 2.27479807 -0.26348802 -1.94771144], [37.831926345825195]
[ 1.43140666 -1.02819137 -2.08657936], [37.999056339263916]
[ 0.72403628 -1.63397445 -2.25783299], [38.164706230163574]
[-0.13070621 -2.62336283 -2.37049431], [38.331053018569946]
[-0.66739011 -3.88995635 -2.52950103], [38.49648594856262]
[-1.40049541 -5.73764612 -2.52265006], [38.66105890274048]
[-1.83116575 -7.59634438 -2.4616348 ], [38.825950145721436]
[-2.3676611  -7.59555575 -2.31781408], [38.99143147468567]
[-2.60655523 -6.40008692 -2.3199637 ], [39.156049728393555]
[-3.02294046 -3.81168677 -2.51220182], [39.322826623916626]
[-3.64518016 -1.25883018 -2.8165813 ], [39.488298177719116]
[-4.21727389  1.19954522 -3.15642919], [39.65327215194702]
[-4.34293674  2.30572658 -3.58449833], [39.82014584541321]
[-4.23721909  1.90758898 -4.13222229], [39.98671340942383]
[-4.20773099  1.14399047 -4.70547417], [40.15346121788025]
[-4.45560136  0.84898038 -5.23093656], [40.33252930641174]
[-4.99186929  0.72691824 -5.68818587], [40.509031772613525]
[-5.48239725  0.22014983 -6.156489  ], [40.684999227523804]
[-5.95013202  0.10764879 -6.64226068], [40.862168312072754]
[-6.51085519  0.31052027 -7.10585419], [41.030556201934814]
[-7.16380998  0.0785428  -7.53505539], [41.19743800163269]
[-7.77156374e+00 -1.50549066e-03 -7.98309651e+00], [41.36289739608765]
[-8.33045451  0.3046038  -8.45600821], [41.529263496398926]
[-8.9890276  -0.0281187  -8.88757961], [41.69572710990906]
[-9.68932646 -0.14618331 -9.29864395], [41.860389709472656]
