[1.11022302e-14 0.00000000e+00 5.00000000e+01], [18.97430682182312]
[-1.12149091e-06  6.68261516e-07  5.00000012e+01], [19.459897756576538]
[-1.52983270e-06  8.67093989e-07  5.00000015e+01], [19.55147075653076]
[-1.57602094e-06  8.79876817e-07  5.00000013e+01], [19.641117095947266]
[-1.49021795e-06  8.26684569e-07  5.00000009e+01], [19.731623649597168]
[-1.47333284e-06  7.95525660e-07  5.00000008e+01], [19.823493480682373]
[-1.50159996e-06  7.99803754e-07  5.00000008e+01], [19.91692876815796]
[-1.52810286e-06  8.09259002e-07  5.00000007e+01], [20.011554718017578]
[-1.54802898e-06  8.16406540e-07  5.00000006e+01], [20.106862545013428]
[-1.56272704e-06  8.21542094e-07  5.00000005e+01], [20.202943325042725]
[-1.57358759e-06  8.25295896e-07  5.00000005e+01], [20.301778554916382]
[-1.58161729e-06  8.28051911e-07  5.00000004e+01], [20.396450757980347]
[-1.58755346e-06  8.30074810e-07  5.00000004e+01], [20.49294137954712]
[-1.59194166e-06  8.31559066e-07  5.00000004e+01], [20.590494394302368]
[-1.59518550e-06  8.32647948e-07  5.00000004e+01], [20.688953161239624]
[-1.59758341e-06  8.33446701e-07  5.00000004e+01], [20.789551734924316]
[-1.59935600e-06  8.34032573e-07  5.00000004e+01], [20.88382124900818]
[-1.60066632e-06  8.34462248e-07  5.00000004e+01], [20.979426383972168]
[-1.60163492e-06  8.34777331e-07  5.00000004e+01], [21.075314044952393]
[-1.60235093e-06  8.35008367e-07  5.00000004e+01], [21.172442197799683]
[-1.60288020e-06  8.35177740e-07  5.00000004e+01], [21.2665057182312]
[-1.60327144e-06  8.35301900e-07  5.00000004e+01], [21.36442804336548]
[-1.60356065e-06  8.35392902e-07  5.00000004e+01], [21.46095609664917]
[-1.60377444e-06  8.35459599e-07  5.00000004e+01], [21.556017875671387]
[-1.60393247e-06  8.35508471e-07  5.00000004e+01], [21.651163816452026]
[-1.60404928e-06  8.35544273e-07  5.00000004e+01], [21.75175189971924]
[-1.60413563e-06  8.35570503e-07  5.00000004e+01], [21.847915649414062]
[-1.60419946e-06  8.35589718e-07  5.00000004e+01], [21.944032669067383]
[-1.60424664e-06  8.35603785e-07  5.00000004e+01], [22.050193309783936]
[-1.60428151e-06  8.35614085e-07  5.00000004e+01], [22.144856452941895]
[-1.60430729e-06  8.35621626e-07  5.00000004e+01], [22.240981101989746]
[-1.60432635e-06  8.35627151e-07  5.00000004e+01], [22.336426496505737]
[-1.60434043e-06  8.35631191e-07  5.00000004e+01], [22.443305492401123]
[-1.60435085e-06  8.35634152e-07  5.00000004e+01], [22.53728437423706]
[-1.60435854e-06  8.35636314e-07  5.00000004e+01], [22.63643980026245]
[-1.60436423e-06  8.35637897e-07  5.00000004e+01], [22.731500148773193]
[-1.60436844e-06  8.35639054e-07  5.00000004e+01], [22.825448274612427]
[-1.60437155e-06  8.35639905e-07  5.00000004e+01], [22.92749547958374]
[-1.60437385e-06  8.35640524e-07  5.00000004e+01], [23.027973651885986]
[-1.60437555e-06  8.35640977e-07  5.00000004e+01], [23.122376918792725]
[-1.60437680e-06  8.35641306e-07  5.00000004e+01], [23.212780952453613]
[-1.60437773e-06  8.35641545e-07  5.00000004e+01], [23.309689044952393]
[-1.60437841e-06  8.35641723e-07  5.00000004e+01], [23.406829595565796]
[-1.60437892e-06  8.35641850e-07  5.00000004e+01], [23.49496626853943]
[-1.60437929e-06  8.35641933e-07  5.00000004e+01], [23.59130835533142]
[-1.60437957e-06  8.35642008e-07  5.00000004e+01], [23.684059143066406]
[-1.60437977e-06  8.35642058e-07  5.00000004e+01], [23.77578067779541]
[-1.60437993e-06  8.35642100e-07  5.00000004e+01], [23.866267681121826]
[-1.60438004e-06  8.35642127e-07  5.00000004e+01], [23.961091995239258]
[-1.60438012e-06  8.35642145e-07  5.00000004e+01], [24.058915853500366]
[-1.60438019e-06  8.35642166e-07  5.00000004e+01], [24.150420665740967]
[-1.60438023e-06  8.35642175e-07  5.00000004e+01], [24.24245285987854]
[-1.60438026e-06  8.35642181e-07  5.00000004e+01], [24.341151475906372]
[-1.60438029e-06  8.35642193e-07  5.00000004e+01], [24.43402099609375]
[-1.60438031e-06  8.35642199e-07  5.00000004e+01], [24.533324718475342]
[-1.60438032e-06  8.35642199e-07  5.00000004e+01], [24.62928557395935]
[-1.60438033e-06  8.35642205e-07  5.00000004e+01], [24.724600791931152]
[-1.60438034e-06  8.35642207e-07  5.00000004e+01], [24.81585144996643]
[-1.60438034e-06  8.35642211e-07  5.00000004e+01], [24.910285711288452]
[-1.60438035e-06  8.35642211e-07  5.00000004e+01], [25.006725072860718]
[-1.60438035e-06  8.35642212e-07  5.00000004e+01], [25.1006600856781]
[-1.60438035e-06  8.35642205e-07  5.00000004e+01], [25.199211359024048]
[-1.60438035e-06  8.35642207e-07  5.00000004e+01], [25.306161880493164]
[-1.60438035e-06  8.35642206e-07  5.00000004e+01], [25.41528630256653]
[-1.60438035e-06  8.35642206e-07  5.00000004e+01], [25.519997596740723]
[-1.60438035e-06  8.35642204e-07  5.00000004e+01], [25.619632244110107]
[-1.60438035e-06  8.35642205e-07  5.00000004e+01], [25.718937873840332]
[-1.60438035e-06  8.35642206e-07  5.00000004e+01], [25.81231689453125]
