[2.22044605e-14 0.00000000e+00 1.00000000e+02], [2.369913101196289]
[-4.57696926e-06  2.11570137e-06  1.00000001e+02], [2.79455828666687]
[-5.46352568e-06  2.61656627e-06  1.00000002e+02], [2.8888447284698486]
[-5.31253941e-06  2.61330456e-06  1.00000001e+02], [2.9869260787963867]
[-4.87247178e-06  2.44409198e-06  1.00000001e+02], [3.0773823261260986]
[-4.72732867e-06  2.35942284e-06  1.00000001e+02], [3.169593095779419]
[-4.74215329e-06  2.38441622e-06  1.00000001e+02], [3.2679672241210938]
[-4.76142128e-06  2.41729381e-06  1.00000001e+02], [3.3536999225616455]
[-4.77477806e-06  2.44044334e-06  1.00000001e+02], [3.441298007965088]
[-4.78436297e-06  2.45705270e-06  1.00000001e+02], [3.527956485748291]
[-4.79144103e-06  2.46931777e-06  1.00000000e+02], [3.619413375854492]
[-4.79668755e-06  2.47840925e-06  1.00000000e+02], [3.7075953483581543]
[-4.80057376e-06  2.48514352e-06  1.00000000e+02], [3.8047027587890625]
[-4.80345146e-06  2.49013021e-06  1.00000000e+02], [3.895151138305664]
[-4.80558227e-06  2.49382266e-06  1.00000000e+02], [3.9911739826202393]
[-4.80716004e-06  2.49655674e-06  1.00000000e+02], [4.08291220664978]
[-4.80832827e-06  2.49858116e-06  1.00000000e+02], [4.181501626968384]
[-4.80919323e-06  2.50008004e-06  1.00000000e+02], [4.268483400344849]
[-4.80983363e-06  2.50118979e-06  1.00000000e+02], [4.362444639205933]
[-4.81030776e-06  2.50201142e-06  1.00000000e+02], [4.45322322845459]
[-4.81065877e-06  2.50261968e-06  1.00000000e+02], [4.545389890670776]
[-4.81091865e-06  2.50307003e-06  1.00000000e+02], [4.6372294425964355]
[-4.81111102e-06  2.50340340e-06  1.00000000e+02], [4.726629734039307]
[-4.81125343e-06  2.50365019e-06  1.00000000e+02], [4.8250648975372314]
[-4.81135884e-06  2.50383286e-06  1.00000000e+02], [4.916344881057739]
[-4.81143687e-06  2.50396808e-06  1.00000000e+02], [5.0061211585998535]
[-4.81149463e-06  2.50406818e-06  1.00000000e+02], [5.103435754776001]
[-4.81153739e-06  2.50414227e-06  1.00000000e+02], [5.197157621383667]
[-4.81156902e-06  2.50419709e-06  1.00000000e+02], [5.291407823562622]
[-4.81159244e-06  2.50423768e-06  1.00000000e+02], [5.379886627197266]
[-4.81160976e-06  2.50426770e-06  1.00000000e+02], [5.472104787826538]
[-4.81162260e-06  2.50428995e-06  1.00000000e+02], [5.562144994735718]
[-4.8116321e-06  2.5043064e-06  1.0000000e+02], [5.656196355819702]
[-4.81163912e-06  2.50431857e-06  1.00000000e+02], [5.749511241912842]
[-4.81164431e-06  2.50432757e-06  1.00000000e+02], [5.843364715576172]
[-4.81164816e-06  2.50433424e-06  1.00000000e+02], [5.943511247634888]
[-4.81165100e-06  2.50433916e-06  1.00000000e+02], [6.043713331222534]
[-4.81165311e-06  2.50434282e-06  1.00000000e+02], [6.142155885696411]
[-4.81165466e-06  2.50434551e-06  1.00000000e+02], [6.236257076263428]
[-4.81165580e-06  2.50434748e-06  1.00000000e+02], [6.331835746765137]
[-4.81165667e-06  2.50434898e-06  1.00000000e+02], [6.423307180404663]
[-4.81165729e-06  2.50435006e-06  1.00000000e+02], [6.516879320144653]
[-4.81165776e-06  2.50435087e-06  1.00000000e+02], [6.6069159507751465]
[-4.81165810e-06  2.50435146e-06  1.00000000e+02], [6.704785585403442]
[-4.81165835e-06  2.50435190e-06  1.00000000e+02], [6.799733877182007]
[-4.81165855e-06  2.50435225e-06  1.00000000e+02], [6.893579959869385]
[-4.8116587e-06  2.5043525e-06  1.0000000e+02], [6.988082647323608]
[-4.81165879e-06  2.50435266e-06  1.00000000e+02], [7.079001426696777]
[-4.81165886e-06  2.50435279e-06  1.00000000e+02], [7.171853542327881]
[-4.81165893e-06  2.50435290e-06  1.00000000e+02], [7.267202854156494]
