[  0.   0. 110.], [32.8781259059906]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [33.41812753677368]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [33.540549516677856]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [33.662368059158325]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [33.78312921524048]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [33.90436148643494]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [34.02469444274902]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [34.14798140525818]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [34.26846241950989]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [34.39062023162842]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [34.5108163356781]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [34.63220000267029]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [34.75472092628479]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [34.87588548660278]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [34.99708819389343]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [35.12025022506714]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [35.241559743881226]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [35.36110854148865]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [35.48408317565918]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [35.60525131225586]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [35.726561546325684]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [35.84835648536682]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [35.97002410888672]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [36.10307812690735]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [36.22462749481201]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [36.34671068191528]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [36.46920871734619]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [36.59195280075073]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [36.71385192871094]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [36.836424589157104]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [36.95863628387451]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [37.07927846908569]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [37.20140862464905]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [37.32610464096069]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [37.44893169403076]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [37.57160568237305]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [37.69284725189209]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [37.8134081363678]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [37.934669494628906]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [38.0554563999176]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [38.17706656455994]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [38.29910659790039]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [38.42057704925537]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [38.54202485084534]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [38.66459608078003]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [38.78628349304199]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [38.90777635574341]
[7.37185334e+011 6.93878211e+252 5.81241635e+180], [39.04049205780029]
