[1.11022302e-14 0.00000000e+00 5.00000000e+01], [1.2043240070343018]
[ 3.87897248e-01 -6.91901912e-09  5.00508304e+01], [1.814828872680664]
[ 7.83518700e-01 -4.55249041e-08  5.00883691e+01], [1.8881354331970215]
[ 1.17971447e+00 -1.75389678e-07  5.01214398e+01], [1.9564507007598877]
[ 1.57696553e+00 -4.57289594e-07  5.01505230e+01], [2.029181480407715]
[ 1.97519180e+00 -9.44417416e-07  5.01755633e+01], [2.0971202850341797]
[ 2.37426741e+00 -1.67985671e-06  5.01965122e+01], [2.165224075317383]
[ 2.77406337e+00 -2.69666464e-06  5.02133328e+01], [2.2348499298095703]
[ 3.17444899e+00 -4.01884299e-06  5.02259961e+01], [2.2999916076660156]
[ 3.57529231e+00 -5.66259192e-06  5.02344803e+01], [2.3734428882598877]
[ 3.97646057e+00 -7.63758611e-06  5.02387696e+01], [2.44012188911438]
[ 4.37782055e+00 -9.94815307e-06  5.02388537e+01], [2.5197417736053467]
[ 4.77923884e+00 -1.25943039e-05  5.02347274e+01], [2.598193883895874]
[ 5.18058211e+00 -1.55726057e-05  5.02263900e+01], [2.6770477294921875]
[ 5.58171738e+00 -1.88769018e-05  5.02138457e+01], [2.7518351078033447]
[ 5.98251219e+00 -2.24988950e-05  5.01971028e+01], [2.821884870529175]
[ 6.38283488e+00 -2.64286173e-05  5.01761739e+01], [2.8935046195983887]
[ 6.78255474e+00 -3.06548009e-05  5.01510756e+01], [2.9645135402679443]
[ 7.18154225e+00 -3.51651716e-05  5.01218289e+01], [3.038316488265991]
[ 7.57966923e+00 -3.99466849e-05  5.00884582e+01], [3.1222829818725586]
[ 7.97680905e+00 -4.49857064e-05  5.00509921e+01], [3.186408758163452]
[ 8.37283681e+00 -5.02681610e-05  5.00094628e+01], [3.2609291076660156]
[ 8.76762950e+00 -5.57796504e-05  4.99639062e+01], [3.3326416015625]
[ 9.16106616e+00 -6.15055518e-05  4.99143617e+01], [3.405923843383789]
[9.55460400e+00 2.34499046e-06 4.98859492e+01], [3.480076313018799]
