[1.11022302e-14 0.00000000e+00 5.00000000e+01], [1.3329088687896729]
[-1.08941312e-06  5.02017632e-07  5.00000012e+01], [2.197739362716675]
[-1.48798388e-06  7.51883473e-07  5.00000014e+01], [2.293402671813965]
[-1.54621145e-06  7.96302686e-07  5.00000012e+01], [2.3798530101776123]
[-1.47774348e-06  7.62441026e-07  5.00000009e+01], [2.475104808807373]
[-1.45493699e-06  7.64773440e-07  5.00000008e+01], [2.5630836486816406]
[-1.48065294e-06  7.89989198e-07  5.00000007e+01], [2.6517345905303955]
[-1.50794911e-06  8.10678897e-07  5.00000006e+01], [2.7408668994903564]
[-1.52844470e-06  8.26210757e-07  5.00000006e+01], [2.833491325378418]
[-1.54343839e-06  8.37740361e-07  5.00000005e+01], [2.928615093231201]
[-1.55447170e-06  8.46278369e-07  5.00000005e+01], [3.0219576358795166]
[-1.56260368e-06  8.52598226e-07  5.00000004e+01], [3.1166374683380127]
[-1.56859640e-06  8.57275855e-07  5.00000004e+01], [3.2153310775756836]
[-1.57301199e-06  8.60737949e-07  5.00000004e+01], [3.312299966812134]
[-1.57626538e-06  8.63300377e-07  5.00000004e+01], [3.410147190093994]
[-1.57866237e-06  8.65196930e-07  5.00000004e+01], [3.5017898082733154]
[-1.58042835e-06  8.66600648e-07  5.00000004e+01], [3.5841777324676514]
[-1.58172939e-06  8.67639599e-07  5.00000004e+01], [3.668248414993286]
[-1.58268787e-06  8.68408574e-07  5.00000004e+01], [3.7494943141937256]
